codigo,region,fecha,positivos_acumulados,positivos_nuevos,en_uci,nuevos_pcrs_informados_lab,muertes_acumuladas,muertes_nuevas
12,Magallanes,04/04/2020,172,16,12,,2,1
15,Arica y Parinacota,04/05/2020,28,16,2,,0,0
1,Tarapacá,04/05/2020,20,3,1,,0,0
2,Antofagasta,04/05/2020,60,5,3,,0,0
3,Atacama,04/05/2020,5,0,0,,0,0
4,Coquimbo,04/05/2020,50,6,1,,0,0
5,Valparaíso,04/05/2020,191,6,27,,1,0
13,Metropolitana,04/05/2020,2102,145,146,,10,1
6,O’Higgins,04/05/2020,41,3,5,,0,0
7,Maule,04/05/2020,103,6,4,,1,0
16,Ñuble,04/05/2020,425,24,10,,3,1
8,Biobío,04/05/2020,365,18,26,,2,0
9,Araucanía,04/05/2020,509,32,44,,13,4
14,Los Ríos,04/05/2020,99,10,3,,1,0
10,Los Lagos,04/05/2020,276,17,22,,1,1
11,Aysén,04/05/2020,7,1,0,,0,0
12,Magallanes,04/05/2020,190,18,13,,2,0
15,Arica y Parinacota,04/06/2020,41,13,4,,0,0
1,Tarapacá,04/06/2020,21,1,2,,0,0
2,Antofagasta,04/06/2020,68,8,3,,0,0
3,Atacama,04/06/2020,5,0,0,,0,0
4,Coquimbo,04/06/2020,51,1,1,,0,0
5,Valparaíso,04/06/2020,198,7,22,,1,0
13,Metropolitana,04/06/2020,2244,142,161,,10,0
6,O’Higgins,04/06/2020,42,1,6,,0,0
7,Maule,04/06/2020,108,5,5,,1,0
16,Ñuble,04/06/2020,474,49,11,,4,1
8,Biobío,04/06/2020,383,18,27,,2,0
9,Araucanía,04/06/2020,562,53,46,,14,1
14,Los Ríos,04/06/2020,104,5,4,,1,0
10,Los Lagos,04/06/2020,286,10,23,,2,1
11,Aysén,04/06/2020,7,0,0,,0,0
12,Magallanes,04/06/2020,221,31,12,,2,0
15,Arica y Parinacota,04/07/2020,53,12,4,,0,0
1,Tarapacá,04/07/2020,23,2,2,,0,0
2,Antofagasta,04/07/2020,69,1,2,,1,1
3,Atacama,04/07/2020,6,1,0,,0,0
4,Coquimbo,04/07/2020,52,1,2,,0,0
5,Valparaíso,04/07/2020,214,16,21,,1,0
13,Metropolitana,04/07/2020,2350,106,160,,12,2
6,O’Higgins,04/07/2020,42,0,6,,0,0
7,Maule,04/07/2020,108,0,7,,2,1
16,Ñuble,04/07/2020,522,48,13,,5,1
8,Biobío,04/07/2020,410,27,32,,2,0
9,Araucanía,04/07/2020,612,50,46,,14,0
14,Los Ríos,04/07/2020,109,5,6,,2,1
10,Los Lagos,04/07/2020,299,13,24,,2,0
11,Aysén,04/07/2020,7,0,0,,0,0
12,Magallanes,04/07/2020,240,19,12,,2,0
15,Arica y Parinacota,04/08/2020,63,10,5,,0,0
1,Tarapacá,04/08/2020,26,3,2,,0,0
2,Antofagasta,04/08/2020,77,8,2,,1,0
3,Atacama,04/08/2020,8,2,1,,0,0
4,Coquimbo,04/08/2020,56,4,1,,0,0
5,Valparaíso,04/08/2020,225,11,20,,2,1
13,Metropolitana,04/08/2020,2548,198,174,,14,2
6,O’Higgins,04/08/2020,43,1,6,,0,0
7,Maule,04/08/2020,119,11,8,,2,0
16,Ñuble,04/08/2020,561,39,13,,5,0
8,Biobío,04/08/2020,439,29,31,,2,0
9,Araucanía,04/08/2020,669,57,54,,15,1
14,Los Ríos,04/08/2020,114,5,6,,2,0
10,Los Lagos,04/08/2020,325,26,25,,2,0
11,Aysén,04/08/2020,7,0,0,,0,0
12,Magallanes,04/08/2020,266,26,14,,3,1
15,Arica y Parinacota,04/09/2020,75,12,5,70,0,0
1,Tarapacá,04/09/2020,29,3,2,0,0,0
2,Antofagasta,04/09/2020,92,15,2,182,1,0
3,Atacama,04/09/2020,10,2,1,57,0,0
4,Coquimbo,04/09/2020,61,5,1,0,0,0
5,Valparaíso,04/09/2020,230,5,22,301,2,0
13,Metropolitana,04/09/2020,2832,284,164,5383,21,7
6,O’Higgins,04/09/2020,44,1,6,68,0,0
7,Maule,04/09/2020,128,9,10,397,2,0
16,Ñuble,04/09/2020,571,10,13,364,6,1
8,Biobío,04/09/2020,460,21,33,592,2,0
9,Araucanía,04/09/2020,689,20,56,124,16,1
14,Los Ríos,04/09/2020,118,4,7,0,2,0
10,Los Lagos,04/09/2020,340,15,24,341,2,0
11,Aysén,04/09/2020,7,0,0,10,0,0
12,Magallanes,04/09/2020,286,20,14,73,3,0
15,Arica y Parinacota,04/10/2020,87,12,5,0,0,0
1,Tarapacá,04/10/2020,35,6,3,0,0,0
2,Antofagasta,04/10/2020,110,18,3,128,1,0
3,Atacama,04/10/2020,13,3,1,52,0,0
4,Coquimbo,04/10/2020,61,0,2,0,0,0
5,Valparaíso,04/10/2020,241,11,21,249,2,0
13,Metropolitana,04/10/2020,3193,361,181,3185,29,8
6,O’Higgins,04/10/2020,44,0,7,0,0,0
7,Maule,04/10/2020,131,3,11,219,2,0
16,Ñuble,04/10/2020,589,18,13,0,6,0
8,Biobío,04/10/2020,474,14,32,149,2,0
9,Araucanía,04/10/2020,712,23,57,148,16,0
14,Los Ríos,04/10/2020,124,6,7,91,2,0
10,Los Lagos,04/10/2020,349,9,25,199,2,0
