date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  4,98192498;1,267866e-01; 18,3396944
2020-03-30;Aisén;Aysén;  4,97303466;1,194384e-01; 18,3063677
2020-03-31;Aisén;Aysén;  4,98182395;1,320300e-01; 18,5901054
2020-04-01;Aisén;Aysén; 10,02119546;1,181671e+00; 27,7385223
2020-04-02;Aisén;Aysén; 13,62464146;3,079961e+00; 33,5058029
2020-04-03;Aisén;Aysén;  8,53605355;1,792534e+00; 24,0497197
2020-04-04;Aisén;Aysén;  4,52642579;1,040647e+00; 12,7859612
2020-04-05;Aisén;Aysén;  3,47879587;1,016363e+00;  8,5450456
2020-04-06;Aisén;Aysén;  2,52799453;8,125511e-01;  5,6090586
2020-04-07;Aisén;Aysén;  2,01129589;6,839058e-01;  4,2526666
2020-04-08;Aisén;Aysén;  1,72585251;6,154043e-01;  3,5084462
2020-04-09;Aisén;Aysén;  1,54888703;5,483439e-01;  3,0757444
2020-04-10;Aisén;Aysén;  1,43112790;5,201659e-01;  2,8258010
2020-04-11;Aisén;Aysén;  1,35148760;4,867731e-01;  2,6320569
2020-04-12;Aisén;Aysén;  1,29797007;4,750631e-01;  2,5385220
2020-04-13;Aisén;Aysén;  1,26402930;4,607032e-01;  2,4684926
2020-04-14;Aisén;Aysén;  1,23915497;4,543541e-01;  2,3970451
2020-04-15;Aisén;Aysén;  1,01047926;3,266573e-01;  2,0784955
2020-04-16;Aisén;Aysén;  0,61114729;1,279516e-01;  1,4751871
2020-04-17;Aisén;Aysén;  0,45020529;5,491965e-02;  1,2785659
2020-04-18;Aisén;Aysén;  0,51630419;6,198446e-02;  1,4635030
2020-04-19;Aisén;Aysén;  0,30366899;7,476164e-03;  1,1468279
2020-04-20;Aisén;Aysén;  0,36740533;9,029578e-03;  1,4305501
2020-04-21;Aisén;Aysén;  0,47248998;1,130149e-02;  1,8387484
2020-04-22;Aisén;Aysén;  0,59862936;1,352031e-02;  2,3293104
2020-04-23;Aisén;Aysén;  0,74382336;1,790385e-02;  2,9151148
2020-04-24;Aisén;Aysén;  0,90803732;2,248766e-02;  3,6002647
2020-04-25;Aisén;Aysén;  1,12786589;2,661457e-02;  4,3488958
2020-04-26;Aisén;Aysén;  1,38958139;3,368909e-02;  5,2993152
2020-04-27;Aisén;Aysén;  1,64622589;3,763297e-02;  6,3511456
2020-04-28;Aisén;Aysén;  1,93536743;4,424766e-02;  7,5731189
2020-04-29;Aisén;Aysén;  2,32167852;5,748456e-02;  8,7571097
2020-04-30;Aisén;Aysén;  2,66688962;6,552571e-02; 10,1776796
2020-05-01;Aisén;Aysén;  2,98696047;6,494251e-02; 11,2517735
2020-05-02;Aisén;Aysén;  3,22136347;7,816327e-02; 12,1797806
2020-05-03;Aisén;Aysén;  3,52592783;8,555797e-02; 13,2039392
