date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-17;12;Chile; 4,0926614;2,163305196; 7,0524354
2020-03-18;12;Chile; 3,2080722;1,782725631; 5,7166732
2020-03-19;12;Chile; 3,3008444;2,027005318; 5,5985107
2020-03-20;12;Chile; 3,0582260;1,881133876; 5,0060455
2020-03-21;12;Chile; 2,7949400;1,775238138; 4,4549887
2020-03-22;12;Chile; 2,4950282;1,641782678; 3,8551733
2020-03-23;13;Chile; 2,3016784;1,588641173; 3,3958874
2020-03-24;13;Chile; 2,2975948;1,645786941; 3,2707576
2020-03-25;13;Chile; 2,3111573;1,667799531; 3,2033467
2020-03-26;13;Chile; 2,1391042;1,539039587; 2,9426623
2020-03-27;13;Chile; 2,1736628;1,607208461; 2,9532613
2020-03-28;13;Chile; 2,1246398;1,569479710; 2,8550936
2020-03-29;13;Chile; 1,9734664;1,471054589; 2,6353012
2020-03-30;14;Chile; 1,8514152;1,417672377; 2,4299159
2020-03-31;14;Chile; 1,7613801;1,387108891; 2,2650319
2020-04-01;14;Chile; 1,6909234;1,358699472; 2,1206023
2020-04-02;14;Chile; 1,6351895;1,337189932; 2,0094950
2020-04-03;14;Chile; 1,5711732;1,302609166; 1,8973120
2020-04-04;14;Chile; 1,5501124;1,306157952; 1,8411089
2020-04-05;14;Chile; 1,4852717;1,261289247; 1,7483632
2020-04-06;15;Chile; 1,4355762;1,236891567; 1,6679071
2020-04-07;15;Chile; 1,3618518;1,188648213; 1,5606251
2020-04-08;15;Chile; 1,3303909;1,182362921; 1,5040727
2020-04-09;15;Chile; 1,3214156;1,189079137; 1,4754945
2020-04-10;15;Chile; 1,3024782;1,176318742; 1,4420134
2020-04-11;15;Chile; 1,2607233;1,145622966; 1,3870546
2020-04-12;15;Chile; 1,2098687;1,109626650; 1,3216817
2020-04-13;16;Chile; 1,1584509;1,076056863; 1,2523743
2020-04-14;16;Chile; 1,1417248;1,073977506; 1,2192941
2020-04-15;16;Chile; 1,1218371;1,063076424; 1,1883716
2020-04-16;16;Chile; 1,1268357;1,073864166; 1,1861610
2020-04-17;16;Chile; 1,1221360;1,070893038; 1,1759589
2020-04-18;16;Chile; 1,1057867;1,056352372; 1,1570619
2020-04-19;16;Chile; 1,0913662;1,044958899; 1,1395420
2020-04-20;17;Chile; 1,0850628;1,042373604; 1,1296125
2020-04-21;17;Chile; 1,0710533;1,031239965; 1,1122637
2020-04-22;17;Chile; 1,0612545;1,024172047; 1,0993900
2020-04-23;17;Chile; 1,0641926;1,029736706; 1,1002584
2020-04-24;17;Chile; 1,0444552;1,010888307; 1,0786789
2020-04-25;17;Chile; 1,0562575;1,024755160; 1,0885250
2020-04-26;17;Chile; 1,0782777;1,046143291; 1,1102320
2020-04-27;18;Chile; 1,0927811;1,057218960; 1,1276852
2020-04-28;18;Chile; 1,1020362;1,061809142; 1,1402766
2020-04-29;18;Chile; 1,1506008;1,105938206; 1,1931484
2020-04-30;18;Chile; 1,1795788;1,121644873; 1,2316921
2020-05-01;18;Chile; 1,2279199;1,156508021; 1,2938194
2020-05-02;18;Chile; 1,3247119;1,231877204; 1,4103601
2020-05-03;18;Chile; 1,3808957;1,251069162; 1,4989394
2020-05-04;19;Chile; 1,3691097;1,217894318; 1,5156884
2020-05-05;19;Chile; 1,4047715;1,247767108; 1,5728866
2020-05-06;19;Chile; 1,3746219;1,211845937; 1,5508239
2020-05-07;19;Chile; 1,3924265;1,234627237; 1,5718771
2020-05-08;19;Chile; 1,3883079;1,228122199; 1,5653959
2020-05-09;19;Chile; 1,3581253;1,202034805; 1,5302175
2020-05-10;19;Chile; 1,3727353;1,224076256; 1,5394750
2020-05-11;20;Chile; 1,3413310;1,195608583; 1,5000325
2020-05-12;20;Chile; 1,3422687;1,203397302; 1,4951541
2020-05-13;20;Chile; 1,3966976;1,255822232; 1,5494065
2020-05-14;20;Chile; 1,4226619;1,263877535; 1,5829323
2020-05-15;20;Chile; 1,4145661;1,246410385; 1,5871322
2020-05-16;20;Chile; 1,3378948;1,177823916; 1,5068887
2020-05-17;20;Chile; 1,3122207;1,174986056; 1,4702850
2020-05-18;21;Chile; 1,3017650;1,178297744; 1,4433772
2020-05-19;21;Chile; 1,3353165;1,214034688; 1,4680852
2020-05-20;21;Chile; 1,3934159;1,259938256; 1,5307005
2020-05-21;21;Chile; 1,4039405;1,250247170; 1,5532506
2020-05-22;21;Chile; 1,4192577;1,256424462; 1,5842644
2020-05-23;21;Chile; 1,4002274;1,233394870; 1,5737450
2020-05-24;21;Chile; 1,3702205;1,211144357; 1,5434020
2020-05-25;22;Chile; 1,3947600;1,242058844; 1,5658350
2020-05-26;22;Chile; 1,3667786;1,213242717; 1,5318735
2020-05-27;22;Chile; 1,3208585;1,178905044; 1,4770818
2020-05-28;22;Chile; 1,2919786;1,166817731; 1,4330319
2020-05-29;22;Chile; 1,2493335;1,138690214; 1,3726610
2020-05-30;22;Chile; 1,2420995;1,145935724; 1,3508684
2020-05-31;22;Chile; 1,2398172;1,148769715; 1,3390560
2020-06-01;23;Chile; 1,2514109;1,161699124; 1,3470378
2020-06-02;23;Chile; 1,1939340;1,105968818; 1,2834767
2020-06-03;23;Chile; 1,1636122;1,090850312; 1,2439467
2020-06-04;23;Chile; 1,1379332;1,077618014; 1,2070842
2020-06-05;23;Chile; 1,1040326;1,054076218; 1,1624087
2020-06-06;23;Chile; 1,1091200;1,069387333; 1,1573296
2020-06-07;23;Chile; 1,1323470;1,094507940; 1,1754466
2020-06-08;24;Chile; 1,1015590;1,059204940; 1,1431624
2020-06-09;24;Chile; 1,0768585;1,041006804; 1,1154465
2020-06-10;24;Chile; 1,0819326;1,052643083; 1,1149570
2020-06-11;24;Chile; 1,0798253;1,051788078; 1,1097328
2020-06-12;24;Chile; 1,1110320;1,082940559; 1,1401296
2020-06-13;24;Chile; 1,1249950;1,088739544; 1,1571206
2020-06-14;24;Chile; 1,1312190;1,088359374; 1,1682139
2020-06-15;25;Chile; 1,0988003;1,053985270; 1,1397856
2020-06-16;25;Chile; 1,0973679;1,059697524; 1,1376135
2020-06-17;25;Chile; 1,0738116;1,039056008; 1,1104110
2020-06-18;25;Chile; 1,0537640;1,026024904; 1,0852824
2020-06-19;25;Chile; 1,0696251;1,047736956; 1,0955999
2020-06-20;25;Chile; 1,0572599;1,034282558; 1,0811695
2020-06-21;25;Chile; 1,0336075;1,013166489; 1,0551988
2020-06-22;26;Chile; 1,0237991;1,008390237; 1,0413686
2020-06-23;26;Chile; 1,0165529;1,004200420; 1,0305905
2020-06-24;26;Chile; 0,9847916;0,974388486; 0,9960868
2020-06-25;26;Chile; 0,9727969;0,962178578; 0,9835306
2020-06-26;26;Chile; 0,9442665;0,931607031; 0,9578941
2020-06-27;26;Chile; 0,9244281;0,906943752; 0,9450665
2020-06-28;26;Chile; 0,8999422;0,877253760; 0,9269082
2020-06-29;27;Chile; 0,9008745;0,871523909; 0,9359734
2020-06-30;27;Chile; 0,8960691;0,862555163; 0,9324502
2020-07-01;27;Chile; 0,8843527;0,849301301; 0,9213067
2020-07-02;27;Chile; 0,8755993;0,839118371; 0,9155353
2020-07-03;27;Chile; 0,8561375;0,818741656; 0,8980805
2020-07-04;27;Chile; 0,8558092;0,815555745; 0,9029521
2020-07-05;27;Chile; 0,8506904;0,808120551; 0,8987709
2020-07-06;28;Chile; 0,8507825;0,806789931; 0,9001374
2020-07-07;28;Chile; 0,8545286;0,809446881; 0,9040082
2020-07-08;28;Chile; 0,8530475;0,808644393; 0,9010801
2020-07-09;28;Chile; 0,8519593;0,808474930; 0,8997757
2020-07-10;28;Chile; 0,8553463;0,811709899; 0,9030151
2020-07-11;28;Chile; 0,8499288;0,807781602; 0,8963185
2020-07-12;28;Chile; 0,8525927;0,810174539; 0,8999624
2020-07-13;29;Chile; 0,8505670;0,808165352; 0,8972120
2020-07-14;29;Chile; 0,8443145;0,801865174; 0,8906014
2020-07-15;29;Chile; 0,8512154;0,808033437; 0,8997683
2020-07-16;29;Chile; 0,8776780;0,833198641; 0,9261152
2020-07-17;29;Chile; 0,8854720;0,843276535; 0,9270753
2020-07-18;29;Chile; 0,8702289;0,832690248; 0,9070971
2020-07-19;29;Chile; 0,8542339;0,818214166; 0,8927024
2020-07-20;30;Chile; 0,8562791;0,818695744; 0,8994787
2020-07-21;30;Chile; 0,8613371;0,821885386; 0,9055147
2020-07-22;30;Chile; 0,8779209;0,837504090; 0,9224660
2020-07-23;30;Chile; 0,8806103;0,841693315; 0,9206908
