date;ss;codigo_ss;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aconcagua; 8; 4,9815451; 0,120499585;18,6128919
2020-03-30;Aconcagua; 8; 4,9746439; 0,115951941;18,3104136
2020-03-31;Aconcagua; 8; 4,9238245; 0,123435069;18,0299385
2020-04-01;Aconcagua; 8;50,1121829;24,363522804;85,8743801
2020-04-02;Aconcagua; 8;14,0681391; 2,301967037;46,3851501
2020-04-03;Aconcagua; 8; 6,8130719; 1,928323272;20,5952686
2020-04-04;Aconcagua; 8; 3,5874680; 1,307188498; 8,8476934
2020-04-05;Aconcagua; 8; 2,3791727; 1,050605518; 4,9785395
2020-04-06;Aconcagua; 8; 1,9734000; 0,992389842; 3,5890630
2020-04-07;Aconcagua; 8; 1,9700849; 1,085392071; 3,2420950
2020-04-08;Aconcagua; 8; 1,9535684; 1,142884193; 3,0644489
2020-04-09;Aconcagua; 8; 1,6815750; 0,987821745; 2,6070148
2020-04-10;Aconcagua; 8; 1,6240357; 0,989642525; 2,4623595
2020-04-11;Aconcagua; 8; 1,4557598; 0,903055488; 2,1720632
2020-04-12;Aconcagua; 8; 1,3381363; 0,842777375; 1,9734921
2020-04-13;Aconcagua; 8; 1,2549122; 0,790101030; 1,8353260
2020-04-14;Aconcagua; 8; 1,1974262; 0,758765824; 1,7433498
2020-04-15;Aconcagua; 8; 0,8192839; 0,475305836; 1,2572445
2020-04-16;Aconcagua; 8; 0,8794534; 0,519482537; 1,3374892
2020-04-17;Aconcagua; 8; 0,8064749; 0,457741598; 1,2558689
2020-04-18;Aconcagua; 8; 0,8964651; 0,518416369; 1,3856520
2020-04-19;Aconcagua; 8; 1,1439376; 0,701526187; 1,7021223
2020-04-20;Aconcagua; 8; 1,0876063; 0,655881774; 1,6164342
2020-04-21;Aconcagua; 8; 0,9151925; 0,531763561; 1,3933751
2020-04-22;Aconcagua; 8; 0,8209550; 0,463306229; 1,2784400
2020-04-23;Aconcagua; 8; 0,8526485; 0,475375735; 1,3461568
2020-04-24;Aconcagua; 8; 0,7687309; 0,406620613; 1,2462368
2020-04-25;Aconcagua; 8; 0,8719564; 0,472932771; 1,3970956
2020-04-26;Aconcagua; 8; 0,9109895; 0,496688579; 1,4546923
2020-04-27;Aconcagua; 8; 1,0741498; 0,615096493; 1,6728550
2020-04-28;Aconcagua; 8; 1,1498471; 0,675794118; 1,7495725
2020-04-29;Aconcagua; 8; 1,4726890; 0,920393756; 2,1487346
2020-04-30;Aconcagua; 8; 1,9029636; 1,259954530; 2,6715716
2020-05-01;Aconcagua; 8; 1,6399603; 1,042502315; 2,3949865
2020-05-02;Aconcagua; 8; 1,5651159; 1,010905181; 2,2780651
2020-05-03;Aconcagua; 8; 1,2856759; 0,819962324; 1,8913613
