date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  5,01173410;1,243502e-01; 18,6701495
2020-03-30;Aisén;Aysén;  5,01974145;1,206178e-01; 18,3328324
2020-03-31;Aisén;Aysén;  4,96198509;1,281693e-01; 18,4326010
2020-04-01;Aisén;Aysén; 10,01140613;1,258175e+00; 27,9849111
2020-04-02;Aisén;Aysén; 13,05025754;2,910770e+00; 32,3843038
2020-04-03;Aisén;Aysén;  8,02312740;1,679786e+00; 23,0281271
2020-04-04;Aisén;Aysén;  4,20073458;9,608406e-01; 11,7614901
2020-04-05;Aisén;Aysén;  3,31010366;9,867404e-01;  8,0706455
2020-04-06;Aisén;Aysén;  2,43589214;7,817126e-01;  5,4213481
2020-04-07;Aisén;Aysén;  1,96134309;6,759794e-01;  4,1478788
2020-04-08;Aisén;Aysén;  1,68096980;5,975237e-01;  3,4231561
2020-04-09;Aisén;Aysén;  1,52139261;5,521636e-01;  3,0258422
2020-04-10;Aisén;Aysén;  1,41907938;5,122801e-01;  2,7874828
2020-04-11;Aisén;Aysén;  1,34883468;4,873277e-01;  2,6684380
2020-04-12;Aisén;Aysén;  1,29227897;4,738313e-01;  2,5160940
2020-04-13;Aisén;Aysén;  1,25698506;4,577729e-01;  2,4582835
2020-04-14;Aisén;Aysén;  1,22640288;4,568766e-01;  2,3738982
2020-04-15;Aisén;Aysén;  1,01009663;3,205503e-01;  2,0786105
2020-04-16;Aisén;Aysén;  0,61696556;1,272986e-01;  1,4946888
2020-04-17;Aisén;Aysén;  0,45175463;5,215433e-02;  1,2734887
2020-04-18;Aisén;Aysén;  0,52548517;6,215912e-02;  1,5097075
2020-04-19;Aisén;Aysén;  0,30986926;7,387125e-03;  1,1581790
2020-04-20;Aisén;Aysén;  0,39012456;9,274349e-03;  1,5396148
2020-04-21;Aisén;Aysén;  0,48882074;1,176422e-02;  1,9268272
2020-04-22;Aisén;Aysén;  0,61754115;1,462708e-02;  2,4067404
2020-04-23;Aisén;Aysén;  0,77296904;1,810401e-02;  3,0431932
2020-04-24;Aisén;Aysén;  0,96558670;2,353871e-02;  3,8059160
2020-04-25;Aisén;Aysén;  1,18397736;2,954045e-02;  4,6368153
2020-04-26;Aisén;Aysén;  1,42605668;3,403417e-02;  5,5402099
2020-04-27;Aisén;Aysén;  1,72453790;4,147090e-02;  6,6152541
2020-04-28;Aisén;Aysén;  2,01289831;5,133786e-02;  7,6519502
2020-04-29;Aisén;Aysén;  2,33250889;5,555029e-02;  8,9374842
2020-04-30;Aisén;Aysén;  2,68560444;6,606638e-02; 10,2557732
2020-05-01;Aisén;Aysén;  3,03257735;7,824594e-02; 11,4306943
2020-05-02;Aisén;Aysén;  3,34852658;8,648017e-02; 12,5502593
2020-05-03;Aisén;Aysén;  3,64001463;8,805969e-02; 13,5691462
2020-05-04;Aisén;Aysén;  3,79117463;9,899603e-02; 14,3731709
2020-05-05;Aisén;Aysén;  4,00087055;9,647124e-02; 14,9018398
2020-05-06;Aisén;Aysén;  4,18213457;1,031224e-01; 15,7443731
2020-05-07;Aisén;Aysén;  4,35035533;1,123667e-01; 16,2319493
2020-05-08;Aisén;Aysén;  4,44743333;1,115999e-01; 16,6766312
2020-05-09;Aisén;Aysén;  4,55744218;1,151708e-01; 16,9475039
2020-05-10;Aisén;Aysén;  4,59386607;1,180501e-01; 17,0654339
2020-05-11;Aisén;Aysén;  4,75397971;1,154805e-01; 17,4299333
2020-05-12;Aisén;Aysén;  4,75113503;1,241937e-01; 17,4718436
2020-05-13;Aisén;Aysén;  4,84168215;1,207752e-01; 17,7823557
2020-05-14;Aisén;Aysén;  4,85127604;1,259663e-01; 17,8881261
2020-05-15;Aisén;Aysén;  4,91943885;1,188471e-01; 18,3351405
2020-05-16;Aisén;Aysén;  4,94829356;1,193497e-01; 18,1749978
2020-05-17;Aisén;Aysén;  4,94179449;1,183893e-01; 18,0446532
2020-05-18;Aisén;Aysén;  4,93322589;1,350174e-01; 18,1724266
2020-05-19;Aisén;Aysén;  4,88610654;1,218108e-01; 18,3070497
2020-05-20;Aisén;Aysén;  4,94275674;1,290210e-01; 18,2901500
2020-05-21;Aisén;Aysén;  5,01273024;1,352639e-01; 18,3175500
2020-05-22;Aisén;Aysén;  4,93387170;1,333433e-01; 18,3300131
2020-05-23;Aisén;Aysén;  4,97606745;1,320047e-01; 18,4026892
2020-05-24;Aisén;Aysén;  5,01464738;1,345245e-01; 18,7834289
2020-05-25;Aisén;Aysén;  4,97202414;1,245091e-01; 18,1993464
2020-05-26;Aisén;Aysén;  9,94270467;1,212207e+00; 27,8045583
2020-05-27;Aisén;Aysén;  6,55760595;7,088776e-01; 20,0940296
2020-05-28;Aisén;Aysén;  6,40588109;1,100900e+00; 18,0053704
2020-05-29;Aisén;Aysén;  5,60380196;1,284426e+00; 14,5952488
2020-05-30;Aisén;Aysén;  3,62065496;7,968396e-01;  9,4246551
2020-05-31;Aisén;Aysén;  2,59757816;6,183012e-01;  6,4964759
2020-06-01;Aisén;Aysén;  2,10500756;5,467789e-01;  4,8985519
2020-06-02;Aisén;Aysén;  1,80468088;4,808162e-01;  4,1109601
2020-06-03;Aisén;Aysén;  1,63495030;4,321013e-01;  3,6493701
