date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  4,9775171;1,237688e-01; 18,2894642
2020-03-30;Aisén;Aysén;  4,9839223;1,323688e-01; 18,1076610
2020-03-31;Aisén;Aysén;  5,0583119;1,220308e-01; 18,7162670
2020-04-01;Aisén;Aysén;  9,9440049;1,247624e+00; 27,2877600
2020-04-02;Aisén;Aysén; 13,2276769;2,970914e+00; 32,5165959
2020-04-03;Aisén;Aysén;  8,1023956;1,650948e+00; 23,1694811
2020-04-04;Aisén;Aysén;  4,2562771;9,675360e-01; 11,8625746
2020-04-05;Aisén;Aysén;  3,3056000;9,891865e-01;  8,0422235
2020-04-06;Aisén;Aysén;  2,4530311;7,992276e-01;  5,4962259
2020-04-07;Aisén;Aysén;  1,9693426;6,791201e-01;  4,1458231
2020-04-08;Aisén;Aysén;  1,6860657;6,027360e-01;  3,4325021
2020-04-09;Aisén;Aysén;  1,5229151;5,428700e-01;  3,0253599
2020-04-10;Aisén;Aysén;  1,4200076;5,195945e-01;  2,7774972
2020-04-11;Aisén;Aysén;  1,3429801;4,889675e-01;  2,6481539
2020-04-12;Aisén;Aysén;  1,2949950;4,644034e-01;  2,5487636
2020-04-13;Aisén;Aysén;  1,2512602;4,587044e-01;  2,4339010
2020-04-14;Aisén;Aysén;  1,2275991;4,527282e-01;  2,3711685
2020-04-15;Aisén;Aysén;  1,0082531;3,293008e-01;  2,0434636
2020-04-16;Aisén;Aysén;  0,6176835;1,269802e-01;  1,4920044
2020-04-17;Aisén;Aysén;  0,4491473;5,670460e-02;  1,2707254
2020-04-18;Aisén;Aysén;  0,5258886;6,137612e-02;  1,5151640
2020-04-19;Aisén;Aysén;  0,3091661;7,350228e-03;  1,1757255
2020-04-20;Aisén;Aysén;  0,3908258;9,564885e-03;  1,5243804
2020-04-21;Aisén;Aysén;  0,4928911;1,138767e-02;  1,9351474
2020-04-22;Aisén;Aysén;  0,6228829;1,484320e-02;  2,4186301
2020-04-23;Aisén;Aysén;  0,7752896;1,890672e-02;  3,0287676
2020-04-24;Aisén;Aysén;  0,9675297;2,317993e-02;  3,7468989
2020-04-25;Aisén;Aysén;  1,1592932;2,685484e-02;  4,4685199
2020-04-26;Aisén;Aysén;  1,4419013;3,554542e-02;  5,6043996
2020-04-27;Aisén;Aysén;  1,7191398;3,999625e-02;  6,5513378
2020-04-28;Aisén;Aysén;  2,0306934;4,720718e-02;  7,8074472
2020-04-29;Aisén;Aysén;  2,3749050;5,790580e-02;  9,1085425
2020-04-30;Aisén;Aysén;  2,6798564;6,404666e-02; 10,3063328
2020-05-01;Aisén;Aysén;  3,0226254;7,535682e-02; 11,3803979
2020-05-02;Aisén;Aysén;  3,3361772;8,273827e-02; 12,5935813
2020-05-03;Aisén;Aysén;  3,5715444;9,668223e-02; 13,1602886
2020-05-04;Aisén;Aysén;  3,7889128;9,383035e-02; 13,9472233
2020-05-05;Aisén;Aysén;  4,0466792;1,086763e-01; 15,1399735
2020-05-06;Aisén;Aysén;  4,1939307;1,059335e-01; 15,5685832
2020-05-07;Aisén;Aysén;  4,3734930;1,110814e-01; 16,2786835
2020-05-08;Aisén;Aysén;  4,4934617;1,130105e-01; 16,5338612
2020-05-09;Aisén;Aysén;  4,5882069;1,196256e-01; 17,1570329
2020-05-10;Aisén;Aysén;  4,6549083;1,209852e-01; 17,3089998
2020-05-11;Aisén;Aysén;  4,7695862;1,198302e-01; 17,5666735
2020-05-12;Aisén;Aysén;  4,7780413;1,209143e-01; 17,5508554
2020-05-13;Aisén;Aysén;  4,7613725;1,253822e-01; 17,2921576
2020-05-14;Aisén;Aysén;  4,8671540;1,198851e-01; 18,0203051
2020-05-15;Aisén;Aysén;  4,8145037;1,148694e-01; 17,9654289
2020-05-16;Aisén;Aysén;  4,9525056;1,211488e-01; 18,4935509
2020-05-17;Aisén;Aysén;  4,8766875;1,150069e-01; 17,9670643
2020-05-18;Aisén;Aysén;  5,0078032;1,315794e-01; 18,3470302
2020-05-19;Aisén;Aysén;  4,9811910;1,259864e-01; 18,5815933
2020-05-20;Aisén;Aysén;  4,9077602;1,271024e-01; 18,4196516
2020-05-21;Aisén;Aysén;  4,9573295;1,284292e-01; 18,0661506
2020-05-22;Aisén;Aysén;  4,9874456;1,249927e-01; 18,3236911
2020-05-23;Aisén;Aysén;  4,9572132;1,362138e-01; 18,5499149
2020-05-24;Aisén;Aysén;  4,9501614;1,254307e-01; 17,9425807
2020-05-25;Aisén;Aysén;  5,0298798;1,207613e-01; 18,4826014
2020-05-26;Aisén;Aysén; 10,0562746;1,207070e+00; 27,8998665
2020-05-27;Aisén;Aysén;  6,5667491;6,940785e-01; 20,0017641
2020-05-28;Aisén;Aysén;  6,4800005;1,142609e+00; 18,1373500
2020-05-29;Aisén;Aysén;  5,6365462;1,224050e+00; 14,8046106
2020-05-30;Aisén;Aysén;  3,6501214;8,117572e-01;  9,4452496
2020-05-31;Aisén;Aysén;  2,6202146;6,191863e-01;  6,5005300
2020-06-01;Aisén;Aysén;  2,0981547;5,375852e-01;  4,9125516
2020-06-02;Aisén;Aysén;  1,8149863;4,826927e-01;  4,1114850
2020-06-03;Aisén;Aysén;  1,6446361;4,392472e-01;  3,6428822
2020-06-04;Aisén;Aysén;  1,5165734;4,093839e-01;  3,3562038
2020-06-05;Aisén;Aysén;  1,4496109;3,813088e-01;  3,1795427
2020-06-06;Aisén;Aysén;  1,4019778;3,794751e-01;  3,0948899
2020-06-07;Aisén;Aysén;  1,3566493;3,715530e-01;  2,9883010
2020-06-08;Aisén;Aysén;  1,3300061;3,653118e-01;  2,8832951
2020-06-09;Aisén;Aysén;  0,9839169;2,080522e-01;  2,3816887
2020-06-10;Aisén;Aysén;  1,0277580;2,117852e-01;  2,4836689
2020-06-11;Aisén;Aysén;  0,7171763;8,613878e-02;  2,0012870
2020-06-12;Aisén;Aysén;  0,3952355;9,240264e-03;  1,4656827
2020-06-13;Aisén;Aysén;  0,9767359;1,142044e-01;  2,8828392
2020-06-14;Aisén;Aysén;  1,1033563;1,294717e-01;  3,1292906
2020-06-15;Aisén;Aysén;  1,7705567;3,571017e-01;  4,3500133
