date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-21;12;Tarapacá; 5,0130384;0,118675660;18,2691267
2020-03-22;12;Tarapacá; 5,0747656;0,130719891;18,6984410
2020-03-23;13;Tarapacá;10,0500154;1,208739992;28,1148160
2020-03-24;13;Tarapacá;16,8130477;4,551977897;38,6608852
2020-03-25;13;Tarapacá; 7,4704037;1,449568993;22,0688211
2020-03-26;13;Tarapacá; 4,6001051;1,236596832;12,3884749
2020-03-27;13;Tarapacá; 2,9660810;0,907084938; 7,0096147
2020-03-28;13;Tarapacá; 2,2077512;0,733898141; 4,8161525
2020-03-29;13;Tarapacá; 2,1299607;0,808980120; 4,2562241
2020-03-30;14;Tarapacá; 2,3429479;1,019944207; 4,3388447
2020-03-31;14;Tarapacá; 2,3960400;1,125954846; 4,2098335
2020-04-01;14;Tarapacá; 1,9883391;0,934188145; 3,5230679
2020-04-02;14;Tarapacá; 1,9983352;0,998102034; 3,3930861
2020-04-03;14;Tarapacá; 1,8615299;0,960094052; 3,0939448
2020-04-04;14;Tarapacá; 2,0790929;1,171497423; 3,2848942
2020-04-05;14;Tarapacá; 2,0884618;1,218733321; 3,2525493
2020-04-06;15;Tarapacá; 1,7757323;1,027767601; 2,7901915
2020-04-07;15;Tarapacá; 1,4736146;0,853857580; 2,3171543
2020-04-08;15;Tarapacá; 1,5388220;0,941724773; 2,3038306
2020-04-09;15;Tarapacá; 1,5363551;0,971882539; 2,2520418
2020-04-10;15;Tarapacá; 1,7388858;1,149913768; 2,4549047
2020-04-11;15;Tarapacá; 1,7100769;1,128156533; 2,4238312
2020-04-12;15;Tarapacá; 1,8370887;1,253017536; 2,5615135
2020-04-13;16;Tarapacá; 1,7729040;1,211832058; 2,4715136
2020-04-14;16;Tarapacá; 1,8333007;1,279718040; 2,5239948
2020-04-15;16;Tarapacá; 1,6072550;1,119766155; 2,2122728
2020-04-16;16;Tarapacá; 1,4845123;1,054713159; 2,0200588
2020-04-17;16;Tarapacá; 1,5028635;1,100547187; 1,9901287
2020-04-18;16;Tarapacá; 1,4665809;1,090208483; 1,9214152
2020-04-19;16;Tarapacá; 1,4703388;1,108182036; 1,9054682
2020-04-20;17;Tarapacá; 1,3911937;1,052136952; 1,7868228
2020-04-21;17;Tarapacá; 1,4525369;1,117163523; 1,8407562
2020-04-22;17;Tarapacá; 1,4603580;1,134154507; 1,8405197
2020-04-23;17;Tarapacá; 1,5139770;1,191332298; 1,8912977
2020-04-24;17;Tarapacá; 1,3878684;1,079105491; 1,7391450
2020-04-25;17;Tarapacá; 1,3626354;1,078564004; 1,6923836
