date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  4,96765288;1,246255e-01; 18,6614288
2020-03-30;Aisén;Aysén;  4,97180603;1,250778e-01; 18,2241955
2020-03-31;Aisén;Aysén;  5,03831804;1,259047e-01; 18,8044827
2020-04-01;Aisén;Aysén;  9,97132066;1,192611e+00; 27,6010160
2020-04-02;Aisén;Aysén; 13,27584357;2,979462e+00; 32,9886971
2020-04-03;Aisén;Aysén;  8,22235866;1,711164e+00; 23,2176249
2020-04-04;Aisén;Aysén;  4,29268260;1,027903e+00; 11,8131844
2020-04-05;Aisén;Aysén;  3,34055236;1,011881e+00;  7,9686108
2020-04-06;Aisén;Aysén;  2,46244383;8,088691e-01;  5,4346341
2020-04-07;Aisén;Aysén;  1,96314434;6,887943e-01;  4,1200217
2020-04-08;Aisén;Aysén;  1,70074513;6,020292e-01;  3,4218980
2020-04-09;Aisén;Aysén;  1,52477211;5,456590e-01;  3,0187844
2020-04-10;Aisén;Aysén;  1,41628408;5,131612e-01;  2,7892000
2020-04-11;Aisén;Aysén;  1,34399412;4,920934e-01;  2,6345553
2020-04-12;Aisén;Aysén;  1,29277665;4,724453e-01;  2,5290787
2020-04-13;Aisén;Aysén;  1,25657092;4,593562e-01;  2,4280954
2020-04-14;Aisén;Aysén;  1,22792786;4,505468e-01;  2,4039339
2020-04-15;Aisén;Aysén;  1,00929020;3,246810e-01;  2,0742068
2020-04-16;Aisén;Aysén;  0,61398808;1,236432e-01;  1,4868979
2020-04-17;Aisén;Aysén;  0,44682962;5,309837e-02;  1,2526089
2020-04-18;Aisén;Aysén;  0,52426641;6,215709e-02;  1,5067063
2020-04-19;Aisén;Aysén;  0,30897263;7,939973e-03;  1,1448433
2020-04-20;Aisén;Aysén;  0,38576939;9,253041e-03;  1,5045997
2020-04-21;Aisén;Aysén;  0,49006844;1,142473e-02;  1,9198104
2020-04-22;Aisén;Aysén;  0,61658429;1,450576e-02;  2,4323165
2020-04-23;Aisén;Aysén;  0,76968561;1,831170e-02;  2,9999668
2020-04-24;Aisén;Aysén;  0,94088584;2,174678e-02;  3,6410057
2020-04-25;Aisén;Aysén;  1,17463487;2,737028e-02;  4,6230689
2020-04-26;Aisén;Aysén;  1,40923000;3,379711e-02;  5,4750388
2020-04-27;Aisén;Aysén;  1,70211974;4,027652e-02;  6,5897231
2020-04-28;Aisén;Aysén;  2,02901981;5,031663e-02;  7,8028209
2020-04-29;Aisén;Aysén;  2,34437939;5,829380e-02;  8,9862544
2020-04-30;Aisén;Aysén;  2,68671957;6,640652e-02; 10,2412352
2020-05-01;Aisén;Aysén;  2,98246293;6,941020e-02; 11,3592511
2020-05-02;Aisén;Aysén;  3,32225034;8,146536e-02; 12,2399059
2020-05-03;Aisén;Aysén;  3,54312453;8,793590e-02; 13,1836564
2020-05-04;Aisén;Aysén;  3,81472657;9,526182e-02; 14,2554541
2020-05-05;Aisén;Aysén;  4,03184077;1,023710e-01; 14,9401955
2020-05-06;Aisén;Aysén;  4,24543747;1,126440e-01; 15,8915163
2020-05-07;Aisén;Aysén;  4,41652581;1,096006e-01; 16,3779935
2020-05-08;Aisén;Aysén;  4,52085634;1,071994e-01; 16,7262922
2020-05-09;Aisén;Aysén;  4,63648836;1,139544e-01; 17,0456093
2020-05-10;Aisén;Aysén;  4,64322724;1,222237e-01; 17,0283381
2020-05-11;Aisén;Aysén;  4,69849508;1,197699e-01; 17,4466006
2020-05-12;Aisén;Aysén;  4,74874794;1,260392e-01; 17,5613602
2020-05-13;Aisén;Aysén;  4,77989946;1,192168e-01; 17,6290744
2020-05-14;Aisén;Aysén;  4,89980184;1,191608e-01; 18,0012885
2020-05-15;Aisén;Aysén;  4,94178294;1,226590e-01; 18,3769761
2020-05-16;Aisén;Aysén;  4,89005152;1,229576e-01; 18,1324595
2020-05-17;Aisén;Aysén;  4,95004097;1,200954e-01; 18,1634724
2020-05-18;Aisén;Aysén;  5,02564501;1,347616e-01; 18,4870973
2020-05-19;Aisén;Aysén;  4,97036090;1,282437e-01; 18,4941877
2020-05-20;Aisén;Aysén;  4,94592173;1,282819e-01; 18,1963589
2020-05-21;Aisén;Aysén;  4,94771822;1,202075e-01; 18,2699425
2020-05-22;Aisén;Aysén;  4,97235743;1,290034e-01; 18,2798009
2020-05-23;Aisén;Aysén;  4,98670315;1,367075e-01; 18,0769185
2020-05-24;Aisén;Aysén;  5,01148317;1,332500e-01; 18,5256829
2020-05-25;Aisén;Aysén;  4,97078505;1,270949e-01; 18,3282051
2020-05-26;Aisén;Aysén;  9,95545744;1,186212e+00; 27,6673054
2020-05-27;Aisén;Aysén;  6,62685677;7,144509e-01; 20,1371824
2020-05-28;Aisén;Aysén;  6,52624390;1,172648e+00; 17,9412794
2020-05-29;Aisén;Aysén;  5,70969768;1,270960e+00; 14,7192123
2020-05-30;Aisén;Aysén;  3,68160342;8,325079e-01;  9,4304683
2020-05-31;Aisén;Aysén;  2,62931072;6,462292e-01;  6,4532062
2020-06-01;Aisén;Aysén;  2,11179412;5,428119e-01;  4,9481468
2020-03-29;Algarrobo;Valparaíso;  2,60489973;8,765400e-01;  5,4908140
2020-03-30;Algarrobo;Valparaíso;  2,77050145;1,119830e+00;  5,4176646
2020-03-31;Algarrobo;Valparaíso;  2,21947853;8,811332e-01;  4,3577214
2020-04-01;Algarrobo;Valparaíso;  1,83962418;7,429471e-01;  3,5402380
2020-04-02;Algarrobo;Valparaíso;  1,80328140;8,015947e-01;  3,3055199
2020-04-03;Algarrobo;Valparaíso;  1,78551405;8,212333e-01;  3,1618723
2020-04-04;Algarrobo;Valparaíso;  1,43184741;6,351576e-01;  2,5846088
2020-04-05;Algarrobo;Valparaíso;  1,32392001;6,010153e-01;  2,3380041
2020-04-06;Algarrobo;Valparaíso;  1,26222863;5,782372e-01;  2,2320528
2020-04-07;Algarrobo;Valparaíso;  1,08256637;4,651265e-01;  1,9550079
2020-04-08;Algarrobo;Valparaíso;  1,07102989;4,638731e-01;  1,9293968
2020-04-09;Algarrobo;Valparaíso;  0,94635283;3,798768e-01;  1,7603995
2020-04-10;Algarrobo;Valparaíso;  0,96076053;3,780984e-01;  1,8071777
2020-04-11;Algarrobo;Valparaíso;  0,70746484;2,218695e-01;  1,4734497
2020-04-12;Algarrobo;Valparaíso;  0,75492961;2,447476e-01;  1,5607956
2020-04-13;Algarrobo;Valparaíso;  0,49113924;1,008051e-01;  1,2045311
2020-04-14;Algarrobo;Valparaíso;  0,55687522;1,146388e-01;  1,3708299
2020-04-15;Algarrobo;Valparaíso;  0,85276415;2,244937e-01;  1,9414621
2020-04-16;Algarrobo;Valparaíso;  0,69475942;1,416828e-01;  1,7034568
2020-04-17;Algarrobo;Valparaíso;  0,51434878;6,285900e-02;  1,4464539
2020-04-18;Algarrobo;Valparaíso;  0,59152535;6,828740e-02;  1,7148069
2020-04-19;Algarrobo;Valparaíso;  0,68822999;7,934382e-02;  1,9747071
2020-04-20;Algarrobo;Valparaíso;  0,80123418;9,187683e-02;  2,3042871
2020-04-21;Algarrobo;Valparaíso;  0,90593926;1,073948e-01;  2,5938142
2020-04-22;Algarrobo;Valparaíso;  1,00976521;1,229926e-01;  2,8593626
2020-04-23;Algarrobo;Valparaíso;  1,10385907;1,354865e-01;  3,1282683
2020-04-24;Algarrobo;Valparaíso;  1,19957002;1,413203e-01;  3,3555060
