date;ss;codigo_ss;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aconcagua; 8; 5,0229835; 0,122960284;18,5906318
2020-03-30;Aconcagua; 8; 5,0645414; 0,125607878;18,6666826
2020-03-31;Aconcagua; 8; 4,9842877; 0,127421300;18,3882275
2020-04-01;Aconcagua; 8;49,9482673;23,653018218;85,5567049
2020-04-02;Aconcagua; 8;14,0118923; 2,178632571;47,5118635
2020-04-03;Aconcagua; 8; 6,8306110; 1,900705292;22,4355539
2020-04-04;Aconcagua; 8; 3,5801523; 1,272192181; 9,1796597
2020-04-05;Aconcagua; 8; 2,3740315; 1,028172437; 5,0678636
2020-04-06;Aconcagua; 8; 1,9659586; 0,976676626; 3,6058229
2020-04-07;Aconcagua; 8; 1,9631025; 1,092151878; 3,2570360
2020-04-08;Aconcagua; 8; 1,9480899; 1,143415954; 3,0506798
2020-04-09;Aconcagua; 8; 1,6742766; 0,982329863; 2,6000115
2020-04-10;Aconcagua; 8; 1,6187188; 0,988988590; 2,4527542
2020-04-11;Aconcagua; 8; 1,4550047; 0,899515707; 2,1715836
2020-04-12;Aconcagua; 8; 1,3340386; 0,831221343; 1,9629429
2020-04-13;Aconcagua; 8; 1,2556862; 0,793396780; 1,8323871
2020-04-14;Aconcagua; 8; 1,1953470; 0,755084597; 1,7363160
2020-04-15;Aconcagua; 8; 0,8176375; 0,472513806; 1,2522664
2020-04-16;Aconcagua; 8; 0,8805908; 0,520023825; 1,3369220
2020-04-17;Aconcagua; 8; 0,8105892; 0,462282026; 1,2620434
2020-04-18;Aconcagua; 8; 0,8956421; 0,517917075; 1,3846364
2020-04-19;Aconcagua; 8; 1,1469856; 0,708053129; 1,6996885
2020-04-20;Aconcagua; 8; 1,0830324; 0,662065636; 1,6108272
2020-04-21;Aconcagua; 8; 0,9144887; 0,534699812; 1,3935797
2020-04-22;Aconcagua; 8; 0,8197405; 0,455339158; 1,2835267
2020-04-23;Aconcagua; 8; 0,8549366; 0,474061919; 1,3453521
2020-04-24;Aconcagua; 8; 0,7670477; 0,405184273; 1,2483557
2020-04-25;Aconcagua; 8; 0,8740656; 0,473156532; 1,4114900
2020-04-26;Aconcagua; 8; 0,9103440; 0,492543586; 1,4541433
2020-04-27;Aconcagua; 8; 1,0783885; 0,609825483; 1,6674955
2020-04-28;Aconcagua; 8; 1,1504876; 0,668645407; 1,7588506
2020-04-29;Aconcagua; 8; 1,4723081; 0,921563813; 2,1475739
2020-04-30;Aconcagua; 8; 1,9049602; 1,262926479; 2,6801104
2020-05-01;Aconcagua; 8; 1,6375070; 1,021782743; 2,4048614
2020-05-02;Aconcagua; 8; 1,5611859; 0,999095455; 2,2918651
2020-05-03;Aconcagua; 8; 1,2826624; 0,818223118; 1,8849818
2020-05-04;Aconcagua; 8; 1,2043059; 0,784548717; 1,7296376
2020-05-05;Aconcagua; 8; 1,3175964; 0,893086208; 1,8301429
2020-05-06;Aconcagua; 8; 1,2944968; 0,880704639; 1,7984086
2020-05-07;Aconcagua; 8; 1,5308407; 1,086697650; 2,0575884
2020-05-08;Aconcagua; 8; 1,6219558; 1,151183687; 2,1689374
2020-05-09;Aconcagua; 8; 1,7231350; 1,232418153; 2,3077122
2020-05-10;Aconcagua; 8; 1,8729625; 1,345464373; 2,4968908
2020-05-11;Aconcagua; 8; 1,7118085; 1,199693659; 2,3326825
2020-05-12;Aconcagua; 8; 1,5719490; 1,128330517; 2,1253589
2020-05-13;Aconcagua; 8; 1,4343789; 1,049726306; 1,9121641
2020-05-14;Aconcagua; 8; 1,2089505; 0,898925525; 1,5917970
2020-05-15;Aconcagua; 8; 1,2965451; 0,998993375; 1,6430730
2020-05-16;Aconcagua; 8; 1,2802798; 0,998951703; 1,6035896
2020-05-17;Aconcagua; 8; 1,3681250; 1,079877160; 1,6947116
2020-05-18;Aconcagua; 8; 1,4146896; 1,117228583; 1,7448346
2020-05-19;Aconcagua; 8; 1,5437556; 1,228766514; 1,8925672
2020-05-20;Aconcagua; 8; 1,8185204; 1,440246501; 2,2344896
2020-05-21;Aconcagua; 8; 1,8254526; 1,382855956; 2,2961769
2020-05-22;Aconcagua; 8; 1,8972196; 1,430210760; 2,4301980
2020-05-23;Aconcagua; 8; 1,7315336; 1,285840343; 2,2587551
2020-05-24;Aconcagua; 8; 1,6035884; 1,224551135; 2,0788673
2020-05-25;Aconcagua; 8; 1,4902265; 1,174594408; 1,8933470
2020-05-26;Aconcagua; 8; 1,5118703; 1,225910862; 1,8636778
2020-05-27;Aconcagua; 8; 1,4737050; 1,208033286; 1,7927858
2020-05-28;Aconcagua; 8; 1,4860099; 1,226414663; 1,7887313
2020-05-29;Aconcagua; 8; 1,4147017; 1,170159688; 1,6927983
2020-05-30;Aconcagua; 8; 1,3733164; 1,153173761; 1,6277918
2020-05-31;Aconcagua; 8; 1,2852007; 1,087581416; 1,5108826
2020-06-01;Aconcagua; 8; 1,2536073; 1,081628032; 1,4506475
2020-06-02;Aconcagua; 8; 1,2926879; 1,126595124; 1,4786771
2020-06-03;Aconcagua; 8; 1,2290947; 1,071055581; 1,4012800
2020-06-04;Aconcagua; 8; 1,2250358; 1,077031887; 1,3874025
2020-06-05;Aconcagua; 8; 1,2146737; 1,074171880; 1,3689967
2020-06-06;Aconcagua; 8; 1,3673394; 1,218323775; 1,5297895
2020-06-07;Aconcagua; 8; 1,4438203; 1,257134870; 1,6250150
2020-06-08;Aconcagua; 8; 1,5157139; 1,295269911; 1,7330208
2020-06-09;Aconcagua; 8; 1,4416435; 1,205482758; 1,6791404
2020-06-10;Aconcagua; 8; 1,3751391; 1,165794464; 1,6124297
2020-06-11;Aconcagua; 8; 1,3256165; 1,139415542; 1,5394636
2020-06-12;Aconcagua; 8; 1,3280373; 1,160983449; 1,5219383
2020-03-29;Aisén;25; 4,9847953; 0,130577954;18,1223023
2020-03-30;Aisén;25; 5,0253756; 0,126630212;18,4672645
2020-03-31;Aisén;25; 5,0026445; 0,122282442;18,5513645
