date;ss;codigo_ss;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aconcagua; 8; 4,9693557; 0,128579587;18,0853033
2020-03-30;Aconcagua; 8; 5,0643634; 0,130052290;18,7549967
2020-03-31;Aconcagua; 8; 5,0019234; 0,125269711;18,3941369
2020-04-01;Aconcagua; 8;49,9197992;23,861143665;84,8291024
2020-04-02;Aconcagua; 8;14,1610510; 2,225738103;45,8319706
2020-04-03;Aconcagua; 8; 6,7412076; 1,935695080;19,6183292
2020-04-04;Aconcagua; 8; 3,5691334; 1,289918151; 8,5640961
2020-04-05;Aconcagua; 8; 2,3675544; 1,016941172; 4,8664799
2020-04-06;Aconcagua; 8; 1,9751783; 0,982521608; 3,5745350
2020-04-07;Aconcagua; 8; 1,9722194; 1,086799756; 3,2483974
2020-04-08;Aconcagua; 8; 1,9599499; 1,132983409; 3,0756299
2020-04-09;Aconcagua; 8; 1,6839411; 0,980811637; 2,6456052
2020-04-10;Aconcagua; 8; 1,6238578; 0,989646432; 2,4617567
2020-04-11;Aconcagua; 8; 1,4577370; 0,896404313; 2,1932787
2020-04-12;Aconcagua; 8; 1,3418439; 0,836939535; 1,9834050
2020-04-13;Aconcagua; 8; 1,2573724; 0,789922732; 1,8335408
2020-04-14;Aconcagua; 8; 1,1991687; 0,762190560; 1,7427047
2020-04-15;Aconcagua; 8; 0,8202520; 0,473301031; 1,2584270
2020-04-16;Aconcagua; 8; 0,8797764; 0,519015696; 1,3370576
2020-04-17;Aconcagua; 8; 0,8090163; 0,459365042; 1,2589758
2020-04-18;Aconcagua; 8; 0,8945885; 0,517050508; 1,3851392
2020-04-19;Aconcagua; 8; 1,1434997; 0,702777006; 1,6953664
2020-04-20;Aconcagua; 8; 1,0852393; 0,660423579; 1,6060037
2020-04-21;Aconcagua; 8; 0,9140237; 0,534167350; 1,3980882
2020-04-22;Aconcagua; 8; 0,8180901; 0,460839180; 1,2780046
2020-04-23;Aconcagua; 8; 0,8534212; 0,476530775; 1,3423524
2020-04-24;Aconcagua; 8; 0,7698289; 0,404958797; 1,2501670
2020-04-25;Aconcagua; 8; 0,8716129; 0,471019300; 1,3946605
2020-04-26;Aconcagua; 8; 0,9103443; 0,492061461; 1,4472483
2020-04-27;Aconcagua; 8; 1,0744083; 0,610325896; 1,6729288
2020-04-28;Aconcagua; 8; 1,1498401; 0,664045619; 1,7520786
2020-04-29;Aconcagua; 8; 1,4729845; 0,921570432; 2,1566024
2020-04-30;Aconcagua; 8; 1,9002960; 1,260054662; 2,6862209
2020-05-01;Aconcagua; 8; 1,6428297; 1,030343698; 2,3856442
2020-05-02;Aconcagua; 8; 1,5677322; 1,002516830; 2,2850281
2020-05-03;Aconcagua; 8; 1,2853402; 0,818239899; 1,8779362
2020-05-04;Aconcagua; 8; 1,2056009; 0,780543076; 1,7340215
2020-05-05;Aconcagua; 8; 1,3225417; 0,898475460; 1,8361562
2020-05-06;Aconcagua; 8; 1,2957018; 0,881166468; 1,7850978
2020-05-07;Aconcagua; 8; 1,5293035; 1,082788014; 2,0529482
2020-05-08;Aconcagua; 8; 1,6242893; 1,158861949; 2,1668419
2020-05-09;Aconcagua; 8; 1,7232360; 1,230436074; 2,3047593
2020-05-10;Aconcagua; 8; 1,8783415; 1,342780468; 2,5010203
2020-05-11;Aconcagua; 8; 1,7153339; 1,203749046; 2,3203315
2020-05-12;Aconcagua; 8; 1,5767581; 1,130279515; 2,1295848
2020-05-13;Aconcagua; 8; 1,4374848; 1,051237106; 1,9120326
2020-05-14;Aconcagua; 8; 1,2102232; 0,897576456; 1,5887476
2020-05-15;Aconcagua; 8; 1,2997733; 1,003303240; 1,6547475
2020-05-16;Aconcagua; 8; 1,2831009; 1,001820182; 1,6042434
2020-05-17;Aconcagua; 8; 1,3679918; 1,078791622; 1,6970604
2020-05-18;Aconcagua; 8; 1,4165524; 1,121779163; 1,7508671
2020-05-19;Aconcagua; 8; 1,5470894; 1,231614472; 1,8983697
2020-05-20;Aconcagua; 8; 1,8226865; 1,446565767; 2,2319823
2020-05-21;Aconcagua; 8; 1,8303670; 1,389401047; 2,2977338
2020-05-22;Aconcagua; 8; 1,9016837; 1,429014660; 2,4259192
2020-05-23;Aconcagua; 8; 1,7379685; 1,293108911; 2,2508459
2020-05-24;Aconcagua; 8; 1,6074163; 1,231717285; 2,0668291
