date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-21;12;Tarapacá; 4,9350539;0,12964548;18,260485
2020-03-22;12;Tarapacá; 4,9970201;0,12960947;18,546918
2020-03-23;13;Tarapacá; 4,9615761;0,12469040;17,989381
2020-03-24;13;Tarapacá; 4,9928084;0,13134673;18,268744
2020-03-25;13;Tarapacá; 5,0257565;0,12876538;18,503464
2020-03-26;13;Tarapacá; 5,0253293;0,13006077;18,744033
2020-03-27;13;Tarapacá; 4,9241775;0,11937802;18,066216
2020-03-28;13;Tarapacá; 4,9907869;0,13348557;18,544102
2020-03-29;13;Tarapacá; 5,0563369;0,12191153;18,516685
2020-03-30;14;Tarapacá; 4,9713422;0,12374187;18,265670
2020-03-31;14;Tarapacá;10,0608453;1,24794451;28,048468
2020-04-01;14;Tarapacá; 6,6363862;0,69740800;20,190972
2020-04-02;14;Tarapacá; 4,3504329;0,45550859;13,351760
2020-04-03;14;Tarapacá; 3,2583435;0,38887697; 9,787287
2020-04-04;14;Tarapacá; 2,7065195;0,32653136; 7,859506
2020-04-05;14;Tarapacá; 2,3654340;0,28268444; 6,738222
2020-04-06;15;Tarapacá; 2,1481535;0,26914489; 6,064207
2020-04-07;15;Tarapacá; 2,0244048;0,23474114; 5,658280
2020-04-08;15;Tarapacá; 1,9009777;0,23798393; 5,292328
2020-04-09;15;Tarapacá; 1,8331205;0,22644172; 5,119263
2020-04-10;15;Tarapacá; 1,8043998;0,22944413; 4,973603
2020-04-11;15;Tarapacá; 1,7750884;0,21926149; 4,910488
2020-04-12;15;Tarapacá; 1,7469528;0,21589391; 4,822985
2020-04-13;16;Tarapacá; 1,7247086;0,20982986; 4,817671
2020-04-14;16;Tarapacá; 0,8544256;0,02102478; 3,146390
2020-04-15;16;Tarapacá; 0,9746732;0,02432274; 3,612683
2020-04-16;16;Tarapacá; 1,1738046;0,02926489; 4,453770
2020-04-17;16;Tarapacá; 1,4140443;0,03412001; 5,440336
2020-04-18;16;Tarapacá; 1,6644930;0,03962180; 6,291715
2020-04-19;16;Tarapacá; 1,9360159;0,04768754; 7,334528
2020-04-20;17;Tarapacá; 4,5107489;0,53175051;12,935488
2020-04-21;17;Tarapacá; 3,8911475;0,45881649;10,926918
2020-04-22;17;Tarapacá; 6,3259414;1,65279160;14,679054
2020-04-23;17;Tarapacá; 4,3494870;0,95462801;11,100407
2020-04-24;17;Tarapacá; 2,9967928;0,70470422; 7,645867
2020-04-25;17;Tarapacá; 2,3119252;0,57082708; 5,531036
2020-04-26;17;Tarapacá; 1,9279740;0,50542700; 4,461714
2020-04-27;18;Tarapacá; 2,1497055;0,66277257; 4,537075
2020-04-28;18;Tarapacá; 1,8971767;0,61091473; 3,957620
2020-04-29;18;Tarapacá; 2,3513334;0,92207188; 4,463692
2020-04-30;18;Tarapacá; 2,0294200;0,78234503; 3,940857
2020-05-01;18;Tarapacá; 1,9868455;0,81912027; 3,682516
2020-05-02;18;Tarapacá; 2,3945191;1,14389012; 4,158740
2020-05-03;18;Tarapacá; 2,1951127;1,06109168; 3,836089
2020-05-04;19;Tarapacá; 1,9927354;0,99017535; 3,444468
2020-05-05;19;Tarapacá; 2,2288981;1,22158222; 3,631778
2020-05-06;19;Tarapacá; 1,9968153;1,09995077; 3,263544
2020-05-07;19;Tarapacá; 1,7856190;0,99793702; 2,863315
2020-05-08;19;Tarapacá; 1,6506983;0,95848382; 2,585516
2020-05-09;19;Tarapacá; 1,8425913;1,14463327; 2,752293
2020-05-10;19;Tarapacá; 1,6253594;1,00438071; 2,448343
2020-05-11;20;Tarapacá; 1,3915857;0,85697484; 2,087434
2020-05-12;20;Tarapacá; 1,3969465;0,89255604; 2,027088
2020-05-13;20;Tarapacá; 1,4553626;0,95885616; 2,067157
2020-05-14;20;Tarapacá; 1,3507287;0,88608941; 1,917185
2020-05-15;20;Tarapacá; 1,2253379;0,79809988; 1,747043
2020-05-16;20;Tarapacá; 1,5040442;1,04533329; 2,063117
2020-05-17;20;Tarapacá; 1,3642132;0,93521162; 1,884487
2020-05-18;21;Tarapacá; 1,2718798;0,86833916; 1,753220
2020-05-19;21;Tarapacá; 1,2094250;0,83320414; 1,667249
2020-05-20;21;Tarapacá; 1,2624379;0,88698988; 1,714837
2020-05-21;21;Tarapacá; 1,1797591;0,82553087; 1,601355
2020-05-22;21;Tarapacá; 1,1064153;0,77104175; 1,500997
2020-05-23;21;Tarapacá; 1,2027446;0,85628261; 1,605302
