date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-17;12;Chile; 4,1255125;2,146289837; 7,0755287
2020-03-18;12;Chile; 3,2418022;1,762564662; 5,7185033
2020-03-19;12;Chile; 3,3306029;2,005500555; 5,5582659
2020-03-20;12;Chile; 3,0848993;1,870098401; 4,9753658
2020-03-21;12;Chile; 2,8168142;1,758690044; 4,4468573
2020-03-22;12;Chile; 2,5142661;1,634963418; 3,8478945
2020-03-23;13;Chile; 2,3183546;1,578137645; 3,4156132
2020-03-24;13;Chile; 2,3137165;1,637817108; 3,2952275
2020-03-25;13;Chile; 2,3276589;1,659935383; 3,2424638
2020-03-26;13;Chile; 2,1525416;1,533506558; 2,9764407
2020-03-27;13;Chile; 2,1864446;1,604596558; 2,9784253
2020-03-28;13;Chile; 2,1372731;1,564943582; 2,8804128
2020-03-29;13;Chile; 1,9841084;1,467657019; 2,6635619
2020-03-30;14;Chile; 1,8619542;1,415666155; 2,4591062
2020-03-31;14;Chile; 1,7704044;1,381038198; 2,2866066
2020-04-01;14;Chile; 1,6992102;1,356604627; 2,1484959
2020-04-02;14;Chile; 1,6429585;1,335831896; 2,0405063
2020-04-03;14;Chile; 1,5781783;1,302593793; 1,9268309
2020-04-04;14;Chile; 1,5565307;1,304717524; 1,8713948
2020-04-05;14;Chile; 1,4912487;1,258641083; 1,7695556
2020-04-06;15;Chile; 1,4411204;1,236136208; 1,6928306
2020-04-07;15;Chile; 1,3663482;1,186005466; 1,5830325
2020-04-08;15;Chile; 1,3345644;1,180727403; 1,5236433
2020-04-09;15;Chile; 1,3251866;1,186080705; 1,4900641
2020-04-10;15;Chile; 1,3061444;1,174647181; 1,4564573
2020-04-11;15;Chile; 1,2637632;1,142863227; 1,4003197
2020-04-12;15;Chile; 1,2127880;1,107312918; 1,3335428
2020-04-13;16;Chile; 1,1608653;1,074862753; 1,2626738
2020-04-14;16;Chile; 1,1438964;1,073030017; 1,2280924
2020-04-15;16;Chile; 1,1238814;1,062394750; 1,1949132
2020-04-16;16;Chile; 1,1288509;1,073389079; 1,1904014
2020-04-17;16;Chile; 1,1237370;1,071005995; 1,1805222
2020-04-18;16;Chile; 1,1074283;1,056319522; 1,1608015
2020-04-19;16;Chile; 1,0929421;1,045312379; 1,1428292
2020-04-20;17;Chile; 1,0862702;1,042743839; 1,1330529
2020-04-21;17;Chile; 1,0721446;1,031046010; 1,1149149
2020-04-22;17;Chile; 1,0621896;1,024372588; 1,1017127
2020-04-23;17;Chile; 1,0649852;1,029406953; 1,1019589
2020-04-24;17;Chile; 1,0451510;1,010983811; 1,0801482
2020-04-25;17;Chile; 1,0570528;1,024741155; 1,0902666
2020-04-26;17;Chile; 1,0788013;1,046651839; 1,1119566
2020-04-27;18;Chile; 1,0935335;1,057286707; 1,1294121
2020-04-28;18;Chile; 1,1024780;1,061892279; 1,1412453
2020-04-29;18;Chile; 1,1513169;1,105045419; 1,1962013
2020-04-30;18;Chile; 1,1801976;1,120651428; 1,2340248
2020-05-01;18;Chile; 1,2287332;1,154839433; 1,2962570
2020-05-02;18;Chile; 1,3258232;1,229671315; 1,4133982
2020-05-03;18;Chile; 1,3822142;1,248827347; 1,5004943
2020-05-04;19;Chile; 1,3708740;1,216151232; 1,5173135
2020-05-05;19;Chile; 1,4070816;1,246284711; 1,5751817
2020-05-06;19;Chile; 1,3769706;1,210374072; 1,5527336
2020-05-07;19;Chile; 1,3952770;1,232515451; 1,5763254
2020-05-08;19;Chile; 1,3914473;1,227679132; 1,5720605
2020-05-09;19;Chile; 1,3611866;1,202035175; 1,5377978
2020-05-10;19;Chile; 1,3759771;1,223387027; 1,5500330
2020-05-11;20;Chile; 1,3445395;1,194161676; 1,5117748
2020-05-12;20;Chile; 1,3452255;1,203164705; 1,5068766
2020-05-13;20;Chile; 1,3998478;1,254091641; 1,5632559
2020-05-14;20;Chile; 1,4256612;1,262397771; 1,5980090
2020-05-15;20;Chile; 1,4178256;1,245192573; 1,6009287
2020-05-16;20;Chile; 1,3410525;1,177842197; 1,5189642
2020-05-17;20;Chile; 1,3154212;1,174855552; 1,4815192
2020-05-18;21;Chile; 1,3050362;1,177453523; 1,4567738
2020-05-19;21;Chile; 1,3383765;1,213512075; 1,4831004
2020-05-20;21;Chile; 1,3964857;1,259868434; 1,5458381
2020-05-21;21;Chile; 1,4070232;1,249554206; 1,5685203
2020-05-22;21;Chile; 1,4224872;1,255832065; 1,5980789
2020-05-23;21;Chile; 1,4035378;1,233330573; 1,5854811
2020-05-24;21;Chile; 1,3735221;1,211161058; 1,5541463
2020-05-25;22;Chile; 1,3981696;1,242235445; 1,5775678
2020-05-26;22;Chile; 1,3700052;1,212149611; 1,5446367
2020-05-27;22;Chile; 1,3240104;1,178370569; 1,4902241
2020-05-28;22;Chile; 1,2951592;1,166749455; 1,4476387
2020-05-29;22;Chile; 1,2523262;1,137897138; 1,3880189
2020-05-30;22;Chile; 1,2448246;1,144707709; 1,3656458
2020-05-31;22;Chile; 1,2424612;1,148473396; 1,3515034
2020-06-01;23;Chile; 1,2539534;1,161438920; 1,3585143
2020-06-02;23;Chile; 1,1961393;1,105309084; 1,2938860
2020-06-03;23;Chile; 1,1658254;1,090276582; 1,2535041
2020-06-04;23;Chile; 1,1399019;1,077059180; 1,2145742
2020-06-05;23;Chile; 1,1058327;1,054224877; 1,1683091
2020-06-06;23;Chile; 1,1108295;1,069189669; 1,1627584
2020-06-07;23;Chile; 1,1338733;1,093753806; 1,1799970
2020-06-08;24;Chile; 1,1027507;1,058690467; 1,1476299
2020-06-09;24;Chile; 1,0781166;1,040643859; 1,1189126
2020-06-10;24;Chile; 1,0830635;1,052735389; 1,1182745
2020-06-11;24;Chile; 1,0808552;1,051611247; 1,1127613
2020-06-12;24;Chile; 1,1120175;1,082768747; 1,1432372
2020-06-13;24;Chile; 1,1258126;1,088455597; 1,1602330
2020-06-14;24;Chile; 1,1320773;1,088320730; 1,1718871
2020-06-15;25;Chile; 1,0997041;1,053690043; 1,1431394
2020-06-16;25;Chile; 1,0982705;1,059329638; 1,1404945
2020-06-17;25;Chile; 1,0747077;1,039108917; 1,1135533
2020-06-18;25;Chile; 1,0546949;1,025578331; 1,0883651
2020-06-19;25;Chile; 1,0705264;1,047432014; 1,0986486
2020-06-20;25;Chile; 1,0580014;1,033818269; 1,0833188
2020-06-21;25;Chile; 1,0343185;1,012982751; 1,0575563
2020-06-22;26;Chile; 1,0244845;1,008127685; 1,0433379
2020-06-23;26;Chile; 1,0171076;1,004158961; 1,0317808
2020-06-24;26;Chile; 0,9852745;0,974575650; 0,9971903
2020-06-25;26;Chile; 0,9732409;0,962833385; 0,9847586
2020-06-26;26;Chile; 0,9445900;0,932119222; 0,9593002
2020-06-27;26;Chile; 0,9247111;0,907668490; 0,9470524
2020-06-28;26;Chile; 0,9000928;0,877618882; 0,9288311
2020-06-29;27;Chile; 0,9009035;0,871928814; 0,9374320
2020-06-30;27;Chile; 0,8959546;0,862973124; 0,9336023
2020-07-01;27;Chile; 0,8840726;0,849383145; 0,9225848
2020-07-02;27;Chile; 0,8752602;0,838666977; 0,9162080
2020-07-03;27;Chile; 0,8557400;0,817588911; 0,8982984
2020-07-04;27;Chile; 0,8552724;0,813740504; 0,9033892
2020-07-05;27;Chile; 0,8499920;0,806012357; 0,8989826
2020-07-06;28;Chile; 0,8500426;0,803988051; 0,9004715
2020-07-07;28;Chile; 0,8537107;0,806820383; 0,9045660
2020-07-08;28;Chile; 0,8521729;0,805311413; 0,9016438
2020-07-09;28;Chile; 0,8510339;0,804634794; 0,9001468
2020-07-10;28;Chile; 0,8544192;0,807969284; 0,9033023
2020-07-11;28;Chile; 0,8489081;0,803496555; 0,8967199
2020-07-12;28;Chile; 0,8515229;0,806065255; 0,9002058
2020-07-13;29;Chile; 0,8495187;0,804054520; 0,8973381
2020-07-14;29;Chile; 0,8432769;0,798258860; 0,8909659
2020-07-15;29;Chile; 0,8501284;0,803965897; 0,9000510
2020-07-16;29;Chile; 0,8765566;0,829561766; 0,9264512
2020-07-17;29;Chile; 0,8842872;0,840104608; 0,9276785
2020-07-18;29;Chile; 0,8690217;0,829308012; 0,9075559
2020-07-19;29;Chile; 0,8531989;0,815039777; 0,8931816
2020-07-20;30;Chile; 0,8552280;0,815061815; 0,8996107
2020-07-21;30;Chile; 0,8602636;0,818403945; 0,9060198
2020-07-22;30;Chile; 0,8768592;0,833988971; 0,9227279
2020-07-23;30;Chile; 0,8794303;0,837985965; 0,9213312
2020-07-24;30;Chile; 0,8874168;0,847707777; 0,9275995
2020-07-25;30;Chile; 0,8953493;0,857414229; 0,9330959
2020-07-26;30;Chile; 0,8915342;0,855953364; 0,9262639
2020-07-27;31;Chile; 0,8969803;0,862590161; 0,9322700
2020-07-28;31;Chile; 0,9175769;0,883264783; 0,9522467
2020-07-29;31;Chile; 0,9361827;0,904290380; 0,9667684
2020-07-30;31;Chile; 0,9332551;0,905866807; 0,9588281
2020-07-31;31;Chile; 0,9232429;0,898436319; 0,9467477
2020-08-01;31;Chile; 0,9304695;0,906031333; 0,9552320
2020-08-02;31;Chile; 0,9440444;0,919881738; 0,9689864
2020-08-03;32;Chile; 0,9443324;0,921707382; 0,9663404
2020-08-04;32;Chile; 0,9485614;0,927220556; 0,9695199
2020-08-05;32;Chile; 0,9601726;0,940000330; 0,9804126
2020-08-06;32;Chile; 0,9541810;0,935782352; 0,9723337
2020-08-07;32;Chile; 0,9490399;0,931270479; 0,9669856
2020-08-08;32;Chile; 0,9555351;0,937382883; 0,9744840
2020-03-17;12;Tarapacá; 4,9750856;0,120240287;18,4200919
2020-03-18;12;Tarapacá; 5,0202174;0,128667207;18,6254790
2020-03-19;12;Tarapacá; 5,0479644;0,130831730;18,6476645
2020-03-20;12;Tarapacá; 5,0435699;0,123624069;18,6121133
2020-03-21;12;Tarapacá; 4,9565498;0,129573030;18,2211243
2020-03-22;12;Tarapacá; 4,9952175;0,122682961;18,4981935
2020-03-23;13;Tarapacá; 9,9215722;1,227169376;27,7365243
2020-03-24;13;Tarapacá;16,4960940;4,339232199;38,1667673
2020-03-25;13;Tarapacá; 7,1560483;1,441788789;20,7658659
2020-03-26;13;Tarapacá; 4,4386729;1,192363055;11,8368982
2020-03-27;13;Tarapacá; 2,8999753;0,902873443; 6,7864541
2020-03-28;13;Tarapacá; 2,1750468;0,724874056; 4,7090489
2020-03-29;13;Tarapacá; 2,1128563;0,800493166; 4,1702538
2020-03-30;14;Tarapacá; 2,3211020;1,009572199; 4,2820587
2020-03-31;14;Tarapacá; 2,3934213;1,131014347; 4,2207736
2020-04-01;14;Tarapacá; 1,9673526;0,922739615; 3,4748024
2020-04-02;14;Tarapacá; 1,9816002;1,009261308; 3,3677250
2020-04-03;14;Tarapacá; 1,8464770;0,962342000; 3,0783887
2020-04-04;14;Tarapacá; 2,0739429;1,175567659; 3,2905681
2020-04-05;14;Tarapacá; 2,0741279;1,204159700; 3,2271792
2020-04-06;15;Tarapacá; 1,7609980;1,015068755; 2,7740783
2020-04-07;15;Tarapacá; 1,4608262;0,854145677; 2,2797989
2020-04-08;15;Tarapacá; 1,5338138;0,947666126; 2,2980801
2020-04-09;15;Tarapacá; 1,5336573;0,974046106; 2,2437001
2020-04-10;15;Tarapacá; 1,7352755;1,151142450; 2,4616442
2020-04-11;15;Tarapacá; 1,7058329;1,133815403; 2,4132392
