date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-17;12;Chile; 4,1142205;2,178565590; 7,0415717
2020-03-18;12;Chile; 3,2318921;1,787004581; 5,7368679
2020-03-19;12;Chile; 3,3232976;2,034429918; 5,5867851
2020-03-20;12;Chile; 3,0773035;1,893271365; 5,0170573
2020-03-21;12;Chile; 2,8121226;1,783655963; 4,4609321
2020-03-22;12;Chile; 2,5085124;1,652463395; 3,8592910
2020-03-23;13;Chile; 2,3136723;1,596985574; 3,4217019
2020-03-24;13;Chile; 2,3112083;1,654816489; 3,3065205
2020-03-25;13;Chile; 2,3242906;1,677147742; 3,2430237
2020-03-26;13;Chile; 2,1502058;1,551989533; 2,9792386
2020-03-27;13;Chile; 2,1840302;1,617795284; 2,9822940
2020-03-28;13;Chile; 2,1346176;1,580667605; 2,8848036
2020-03-29;13;Chile; 1,9818875;1,477625194; 2,6637504
2020-03-30;14;Chile; 1,8597266;1,423745448; 2,4639653
2020-03-31;14;Chile; 1,7682094;1,391972899; 2,2879408
2020-04-01;14;Chile; 1,6975902;1,364789260; 2,1499914
2020-04-02;14;Chile; 1,6415049;1,341901691; 2,0385891
2020-04-03;14;Chile; 1,5766558;1,308182378; 1,9275603
2020-04-04;14;Chile; 1,5553149;1,311503715; 1,8724445
2020-04-05;14;Chile; 1,4901304;1,265525981; 1,7744969
2020-04-06;15;Chile; 1,4401847;1,241821026; 1,6926387
2020-04-07;15;Chile; 1,3655575;1,191785126; 1,5847276
2020-04-08;15;Chile; 1,3337654;1,186347589; 1,5249738
2020-04-09;15;Chile; 1,3242871;1,190000524; 1,4941598
2020-04-10;15;Chile; 1,3057385;1,178941646; 1,4591754
2020-04-11;15;Chile; 1,2634304;1,147287125; 1,4030202
2020-04-12;15;Chile; 1,2119568;1,111009999; 1,3337485
2020-04-13;16;Chile; 1,1603238;1,077848518; 1,2640875
2020-04-14;16;Chile; 1,1433950;1,075220959; 1,2308718
2020-04-15;16;Chile; 1,1234754;1,065584975; 1,1966025
2020-04-16;16;Chile; 1,1285755;1,075289604; 1,1929729
2020-04-17;16;Chile; 1,1234063;1,071813943; 1,1824082
2020-04-18;16;Chile; 1,1069485;1,057800573; 1,1622810
2020-04-19;16;Chile; 1,0922776;1,046147154; 1,1443022
2020-04-20;17;Chile; 1,0861047;1,043898841; 1,1332020
2020-04-21;17;Chile; 1,0717281;1,031897612; 1,1155182
2020-04-22;17;Chile; 1,0618984;1,024798439; 1,1025348
2020-04-23;17;Chile; 1,0647706;1,030084651; 1,1022625
2020-04-24;17;Chile; 1,0449852;1,011674713; 1,0801986
2020-04-25;17;Chile; 1,0568235;1,025628233; 1,0909167
2020-04-26;17;Chile; 1,0785387;1,046444038; 1,1118175
2020-04-27;18;Chile; 1,0933623;1,058117219; 1,1289323
2020-04-28;18;Chile; 1,1022910;1,062522232; 1,1410695
2020-04-29;18;Chile; 1,1513523;1,107321455; 1,1961564
2020-04-30;18;Chile; 1,1799518;1,122479399; 1,2335325
2020-05-01;18;Chile; 1,2285227;1,157593876; 1,2956851
2020-05-02;18;Chile; 1,3255995;1,232588774; 1,4135388
2020-05-03;18;Chile; 1,3820253;1,253003051; 1,4995655
2020-05-04;19;Chile; 1,3704354;1,219915222; 1,5175990
2020-05-05;19;Chile; 1,4066060;1,250888544; 1,5756279
2020-05-06;19;Chile; 1,3766246;1,214760336; 1,5540031
2020-05-07;19;Chile; 1,3948208;1,237184381; 1,5772233
2020-05-08;19;Chile; 1,3907036;1,231333710; 1,5729757
2020-05-09;19;Chile; 1,3605593;1,205465385; 1,5387914
2020-05-10;19;Chile; 1,3752452;1,227349160; 1,5507851
2020-05-11;20;Chile; 1,3439941;1,197846790; 1,5124446
