date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  4,96044608;1,221546e-01; 18,3199814
2020-03-30;Aisén;Aysén;  4,99960629;1,314217e-01; 18,3944608
2020-03-31;Aisén;Aysén;  4,97550137;1,232679e-01; 18,4702424
2020-04-01;Aisén;Aysén;  9,99642726;1,235007e+00; 27,8076038
2020-04-02;Aisén;Aysén; 13,01302546;3,089006e+00; 31,7280327
2020-04-03;Aisén;Aysén;  7,86309985;1,709580e+00; 22,0557649
2020-04-04;Aisén;Aysén;  4,13698368;1,013557e+00; 11,5136480
2020-04-05;Aisén;Aysén;  3,24559903;1,004373e+00;  7,7571124
2020-04-06;Aisén;Aysén;  2,42606152;7,945417e-01;  5,3682751
2020-04-07;Aisén;Aysén;  1,94180578;6,708984e-01;  4,0507808
2020-04-08;Aisén;Aysén;  1,67947426;5,871111e-01;  3,3763854
2020-04-09;Aisén;Aysén;  1,51733762;5,386645e-01;  3,0198662
2020-04-10;Aisén;Aysén;  1,41269152;5,159078e-01;  2,7738652
2020-04-11;Aisén;Aysén;  1,34079268;4,960080e-01;  2,6246653
2020-04-12;Aisén;Aysén;  1,28856780;4,634473e-01;  2,5261209
2020-04-13;Aisén;Aysén;  1,25545522;4,570018e-01;  2,4500484
2020-04-14;Aisén;Aysén;  1,22939241;4,500167e-01;  2,4012555
2020-04-15;Aisén;Aysén;  1,00700806;3,328125e-01;  2,0712475
2020-04-16;Aisén;Aysén;  0,61803270;1,260860e-01;  1,4968353
2020-04-17;Aisén;Aysén;  0,45210836;5,518928e-02;  1,2757220
2020-04-18;Aisén;Aysén;  0,52113665;6,112539e-02;  1,5092911
2020-04-19;Aisén;Aysén;  0,30923413;7,697292e-03;  1,1675882
2020-04-20;Aisén;Aysén;  0,38366935;9,320243e-03;  1,4743778
2020-04-21;Aisén;Aysén;  0,48570641;1,108663e-02;  1,8591363
2020-04-22;Aisén;Aysén;  0,61641660;1,460236e-02;  2,4429321
2020-04-23;Aisén;Aysén;  0,77076130;1,883431e-02;  2,9675427
2020-04-24;Aisén;Aysén;  0,96146753;2,179583e-02;  3,7219842
2020-04-25;Aisén;Aysén;  1,18061239;3,017823e-02;  4,4848967
2020-04-26;Aisén;Aysén;  1,43282551;3,501026e-02;  5,6632729
2020-04-27;Aisén;Aysén;  1,70986774;4,056487e-02;  6,6632763
2020-04-28;Aisén;Aysén;  2,02312761;5,065057e-02;  7,7673343
2020-04-29;Aisén;Aysén;  2,36139604;5,834208e-02;  8,8982019
2020-04-30;Aisén;Aysén;  2,67242540;6,427458e-02; 10,2092285
2020-05-01;Aisén;Aysén;  3,02217293;7,596899e-02; 11,5406291
2020-05-02;Aisén;Aysén;  3,31744128;8,530818e-02; 12,4463320
2020-05-03;Aisén;Aysén;  3,61119895;9,187742e-02; 13,5095369
2020-05-04;Aisén;Aysén;  3,80726557;9,748709e-02; 14,1731978
2020-05-05;Aisén;Aysén;  4,04770291;9,988958e-02; 14,9647656
2020-05-06;Aisén;Aysén;  4,18138423;1,024790e-01; 15,6998547
2020-05-07;Aisén;Aysén;  4,35803473;1,161715e-01; 16,1525416
2020-05-08;Aisén;Aysén;  4,44836836;1,144421e-01; 16,5844493
2020-05-09;Aisén;Aysén;  4,53305940;1,239399e-01; 16,6200717
2020-05-10;Aisén;Aysén;  4,68066215;1,303904e-01; 17,3103682
2020-05-11;Aisén;Aysén;  4,72344766;1,221821e-01; 17,3399074
2020-05-12;Aisén;Aysén;  4,74216487;1,163857e-01; 17,3989696
2020-05-13;Aisén;Aysén;  4,81759343;1,144684e-01; 17,6367808
2020-05-14;Aisén;Aysén;  4,87598283;1,224901e-01; 17,7515776
2020-05-15;Aisén;Aysén;  4,85143194;1,169375e-01; 17,8038220
2020-05-16;Aisén;Aysén;  4,85138204;1,318557e-01; 17,8585621
2020-05-17;Aisén;Aysén;  4,93318826;1,320872e-01; 18,3163600
2020-05-18;Aisén;Aysén;  4,96411436;1,218258e-01; 18,3086822
2020-05-19;Aisén;Aysén;  4,98860763;1,261611e-01; 18,3917944
2020-05-20;Aisén;Aysén;  4,90264958;1,235330e-01; 17,9194230
2020-05-21;Aisén;Aysén;  5,00415867;1,274285e-01; 18,4268008
2020-05-22;Aisén;Aysén;  4,93254576;1,298593e-01; 18,3060914
2020-05-23;Aisén;Aysén;  4,94014884;1,229871e-01; 18,3288233
2020-05-24;Aisén;Aysén;  4,93013056;1,196991e-01; 18,1510762
