date;ss;codigo_ss;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aconcagua; 8; 5,0274673; 0,129055947;18,5270412
2020-03-30;Aconcagua; 8; 4,9563425; 0,130070766;18,1153274
2020-03-31;Aconcagua; 8; 5,0234208; 0,124849166;18,3031937
2020-04-01;Aconcagua; 8;49,9677294;23,831270723;85,5722065
2020-04-02;Aconcagua; 8;14,1282452; 2,216514075;46,0189403
2020-04-03;Aconcagua; 8; 6,7741612; 1,888670118;20,0807681
2020-04-04;Aconcagua; 8; 3,5660888; 1,281563936; 8,6530909
2020-04-05;Aconcagua; 8; 2,3724472; 1,046414249; 4,9762132
2020-04-06;Aconcagua; 8; 1,9704373; 0,999832832; 3,5567874
2020-04-07;Aconcagua; 8; 1,9640990; 1,086836690; 3,2124528
2020-04-08;Aconcagua; 8; 1,9501444; 1,134794954; 3,0567598
2020-04-09;Aconcagua; 8; 1,6857072; 0,987562408; 2,6301733
2020-04-10;Aconcagua; 8; 1,6211549; 0,991611686; 2,4510870
2020-04-11;Aconcagua; 8; 1,4582664; 0,902739978; 2,1704564
2020-04-12;Aconcagua; 8; 1,3384805; 0,835350871; 1,9658852
2020-04-13;Aconcagua; 8; 1,2539201; 0,786226266; 1,8347104
2020-04-14;Aconcagua; 8; 1,1980691; 0,767849864; 1,7392310
2020-04-15;Aconcagua; 8; 0,8189073; 0,475070940; 1,2583939
2020-04-16;Aconcagua; 8; 0,8811172; 0,518139557; 1,3451078
2020-04-17;Aconcagua; 8; 0,8072212; 0,457110159; 1,2554305
2020-04-18;Aconcagua; 8; 0,8933582; 0,518048650; 1,3812119
2020-04-19;Aconcagua; 8; 1,1422830; 0,702883936; 1,6975366
2020-04-20;Aconcagua; 8; 1,0840995; 0,661240933; 1,6106488
2020-04-21;Aconcagua; 8; 0,9157008; 0,533177611; 1,3981917
2020-04-22;Aconcagua; 8; 0,8195012; 0,456881585; 1,2807561
2020-04-23;Aconcagua; 8; 0,8515853; 0,479925051; 1,3407053
2020-04-24;Aconcagua; 8; 0,7682384; 0,403339636; 1,2481040
2020-04-25;Aconcagua; 8; 0,8735558; 0,476355336; 1,3908126
2020-04-26;Aconcagua; 8; 0,9085596; 0,495701937; 1,4550567
2020-04-27;Aconcagua; 8; 1,0738516; 0,614857178; 1,6694563
2020-04-28;Aconcagua; 8; 1,1517237; 0,671425528; 1,7528857
2020-04-29;Aconcagua; 8; 1,4725437; 0,924500320; 2,1499352
2020-04-30;Aconcagua; 8; 1,9083917; 1,257445363; 2,6858458
2020-05-01;Aconcagua; 8; 1,6408296; 1,035082118; 2,3901905
2020-05-02;Aconcagua; 8; 1,5663557; 1,007138890; 2,2750527
2020-05-03;Aconcagua; 8; 1,2829368; 0,814194010; 1,8888519
2020-05-04;Aconcagua; 8; 1,2040408; 0,783086021; 1,7203276
2020-05-05;Aconcagua; 8; 1,3192693; 0,894091848; 1,8366658
2020-05-06;Aconcagua; 8; 1,2967182; 0,881779897; 1,7895031
2020-05-07;Aconcagua; 8; 1,5296245; 1,080937901; 2,0550446
2020-05-08;Aconcagua; 8; 1,6262427; 1,155521284; 2,1769571
2020-05-09;Aconcagua; 8; 1,7273000; 1,235564692; 2,2929693
2020-05-10;Aconcagua; 8; 1,8800645; 1,352851742; 2,5014854
2020-05-11;Aconcagua; 8; 1,7180972; 1,211308271; 2,3195370
2020-05-12;Aconcagua; 8; 1,5760198; 1,128459407; 2,1244041
2020-05-13;Aconcagua; 8; 1,4370545; 1,050739838; 1,9026051
2020-05-14;Aconcagua; 8; 1,2096358; 0,898710970; 1,5808619
2020-05-15;Aconcagua; 8; 1,2981312; 1,001703057; 1,6476005
2020-05-16;Aconcagua; 8; 1,2821739; 0,995279333; 1,6091391
2020-05-17;Aconcagua; 8; 1,3673341; 1,081753549; 1,6956272
2020-05-18;Aconcagua; 8; 1,4162332; 1,124235572; 1,7481548
2020-05-19;Aconcagua; 8; 1,5459979; 1,231723215; 1,8909687
2020-05-20;Aconcagua; 8; 1,8233821; 1,446197510; 2,2242762
2020-05-21;Aconcagua; 8; 1,8309982; 1,392260207; 2,2937930
2020-05-22;Aconcagua; 8; 1,9017048; 1,433590646; 2,4221867
2020-05-23;Aconcagua; 8; 1,7362557; 1,289843278; 2,2457439
2020-05-24;Aconcagua; 8; 1,6063270; 1,230074336; 2,0636230
2020-05-25;Aconcagua; 8; 1,4911960; 1,173637234; 1,8744126
2020-05-26;Aconcagua; 8; 1,5126044; 1,229421118; 1,8564055
2020-05-27;Aconcagua; 8; 1,4763974; 1,207521609; 1,7825133
2020-05-28;Aconcagua; 8; 1,4878370; 1,231276799; 1,7785865
2020-05-29;Aconcagua; 8; 1,4168982; 1,173917922; 1,6834270
2020-05-30;Aconcagua; 8; 1,3742817; 1,154757579; 1,6263299
2020-05-31;Aconcagua; 8; 1,2870928; 1,092658489; 1,5067750
2020-06-01;Aconcagua; 8; 1,2564967; 1,084853142; 1,4492058
2020-03-29;Aisén;25; 5,0312997; 0,132117860;18,5998054
2020-03-30;Aisén;25; 5,0269137; 0,131328795;18,5345443
2020-03-31;Aisén;25; 5,0111898; 0,128231918;18,6800331
2020-04-01;Aisén;25;20,0313665; 5,570313384;44,3697074
2020-04-02;Aisén;25;13,5787141; 2,732761700;36,5813882
2020-04-03;Aisén;25; 6,8341755; 1,578415921;20,1943366
2020-04-04;Aisén;25; 3,6882285; 1,041578951; 9,6941604
2020-04-05;Aisén;25; 2,8490714; 1,021869541; 6,3543173
2020-04-06;Aisén;25; 2,4414587; 0,997164870; 4,8651292
2020-04-07;Aisén;25; 1,9709968; 0,833374481; 3,7556020
2020-04-08;Aisén;25; 1,8726238; 0,848053585; 3,3902073
2020-04-09;Aisén;25; 1,6321182; 0,755890130; 2,8822860
2020-04-10;Aisén;25; 1,4707182; 0,695333156; 2,5751547
2020-04-11;Aisén;25; 1,3662124; 0,641799763; 2,3669397
