date;ss;codigo_ss;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aconcagua; 8; 4,96668047; 0,130294184;18,3314577
2020-03-30;Aconcagua; 8; 5,01785210; 0,127466743;18,5354204
2020-03-31;Aconcagua; 8; 5,01092719; 0,124414160;18,6047522
2020-04-01;Aconcagua; 8;49,98609903;23,911006031;85,4250170
2020-04-02;Aconcagua; 8;13,25315208; 2,212946754;47,0426325
2020-04-03;Aconcagua; 8; 6,54214691; 1,926465083;22,2096325
2020-04-04;Aconcagua; 8; 3,47737765; 1,283778175; 9,1843980
2020-04-05;Aconcagua; 8; 2,31641630; 1,029139283; 5,0047015
2020-04-06;Aconcagua; 8; 1,93928765; 0,981902567; 3,5569457
2020-04-07;Aconcagua; 8; 1,94123047; 1,092520133; 3,1976136
2020-04-08;Aconcagua; 8; 1,93274747; 1,139536358; 3,0553103
2020-04-09;Aconcagua; 8; 1,66522515; 0,978321673; 2,6089997
2020-04-10;Aconcagua; 8; 1,60282218; 0,976588871; 2,4206788
2020-04-11;Aconcagua; 8; 1,44360488; 0,896696066; 2,1563556
2020-04-12;Aconcagua; 8; 1,32917560; 0,832857567; 1,9689721
2020-04-13;Aconcagua; 8; 1,24678687; 0,786260842; 1,8179980
2020-04-14;Aconcagua; 8; 1,19263155; 0,754301460; 1,7206618
2020-04-15;Aconcagua; 8; 0,81625065; 0,469464277; 1,2571390
2020-04-16;Aconcagua; 8; 0,87914914; 0,523528702; 1,3375572
2020-04-17;Aconcagua; 8; 0,80971558; 0,459409268; 1,2560233
2020-04-18;Aconcagua; 8; 0,89675672; 0,516301922; 1,3864234
2020-04-19;Aconcagua; 8; 1,14958856; 0,702946747; 1,7024560
2020-04-20;Aconcagua; 8; 1,08694356; 0,666236811; 1,6095319
2020-04-21;Aconcagua; 8; 0,91323954; 0,530504041; 1,4021633
2020-04-22;Aconcagua; 8; 0,82297776; 0,459574444; 1,2919850
2020-04-23;Aconcagua; 8; 0,85369846; 0,473926391; 1,3421146
2020-04-24;Aconcagua; 8; 0,77153337; 0,409235818; 1,2575817
2020-04-25;Aconcagua; 8; 0,87422607; 0,475923267; 1,3990195
2020-04-26;Aconcagua; 8; 0,91454089; 0,494933160; 1,4564761
2020-04-27;Aconcagua; 8; 1,07611856; 0,616321684; 1,6753487
2020-04-28;Aconcagua; 8; 1,15175272; 0,672586044; 1,7667550
2020-04-29;Aconcagua; 8; 1,47394048; 0,916944976; 2,1597961
2020-04-30;Aconcagua; 8; 1,90017941; 1,263478146; 2,6647704
2020-05-01;Aconcagua; 8; 1,62758806; 1,030916412; 2,3751502
2020-05-02;Aconcagua; 8; 1,54894907; 0,999192443; 2,2519100
2020-05-03;Aconcagua; 8; 1,27642687; 0,807947782; 1,8729137
2020-05-04;Aconcagua; 8; 1,19320901; 0,777239827; 1,7201347
2020-05-05;Aconcagua; 8; 1,31484019; 0,888926719; 1,8332997
2020-05-06;Aconcagua; 8; 1,29177105; 0,880211925; 1,7905875
2020-05-07;Aconcagua; 8; 1,52402180; 1,081598827; 2,0427880
2020-05-08;Aconcagua; 8; 1,61662618; 1,163658413; 2,1625860
2020-05-09;Aconcagua; 8; 1,71489878; 1,230551347; 2,2917315
2020-05-10;Aconcagua; 8; 1,86273234; 1,344007830; 2,4899762
2020-05-11;Aconcagua; 8; 1,69633520; 1,208783145; 2,3062472
2020-05-12;Aconcagua; 8; 1,56035688; 1,126322111; 2,1148521
2020-05-13;Aconcagua; 8; 1,42469832; 1,050389691; 1,9082517
