date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  5,06078159;1,323373e-01; 18,5548119
2020-03-30;Aisén;Aysén;  5,02354607;1,342333e-01; 18,1701924
2020-03-31;Aisén;Aysén;  4,98025108;1,197952e-01; 18,4739957
2020-04-01;Aisén;Aysén; 10,05572667;1,208426e+00; 27,9182522
2020-04-02;Aisén;Aysén; 12,83500719;2,933717e+00; 31,8642091
2020-04-03;Aisén;Aysén;  7,88152139;1,629836e+00; 22,7133612
2020-04-04;Aisén;Aysén;  4,13257879;9,649409e-01; 11,8304161
2020-04-05;Aisén;Aysén;  3,25460770;9,886690e-01;  7,9884892
2020-04-06;Aisén;Aysén;  2,41241658;7,728635e-01;  5,4189152
2020-04-07;Aisén;Aysén;  1,93678330;6,629142e-01;  4,0465409
2020-04-08;Aisén;Aysén;  1,67507552;5,812714e-01;  3,4511522
2020-04-09;Aisén;Aysén;  1,51742579;5,476204e-01;  3,0170571
2020-04-10;Aisén;Aysén;  1,41957374;5,073892e-01;  2,7936375
2020-04-11;Aisén;Aysén;  1,34473890;4,882092e-01;  2,6337925
2020-04-12;Aisén;Aysén;  1,29098337;4,698098e-01;  2,4986441
2020-04-13;Aisén;Aysén;  1,26360661;4,655162e-01;  2,4586988
2020-04-14;Aisén;Aysén;  1,22549960;4,524016e-01;  2,3913888
2020-04-15;Aisén;Aysén;  1,00620196;3,234834e-01;  2,0497531
2020-04-16;Aisén;Aysén;  0,61566198;1,274891e-01;  1,4800350
2020-04-17;Aisén;Aysén;  0,45703309;5,324378e-02;  1,2914079
2020-04-18;Aisén;Aysén;  0,53421644;6,271451e-02;  1,5481188
2020-04-19;Aisén;Aysén;  0,31491792;7,174697e-03;  1,1857559
2020-04-20;Aisén;Aysén;  0,39536481;9,246326e-03;  1,5487930
2020-04-21;Aisén;Aysén;  0,50566637;1,174477e-02;  1,9934081
2020-04-22;Aisén;Aysén;  0,63622714;1,535534e-02;  2,5057928
2020-04-23;Aisén;Aysén;  0,79826519;1,790774e-02;  3,1365158
2020-04-24;Aisén;Aysén;  0,97425331;2,268665e-02;  3,8239137
2020-04-25;Aisén;Aysén;  1,19289995;2,816269e-02;  4,6015783
2020-04-26;Aisén;Aysén;  1,45199934;3,631042e-02;  5,6515221
2020-04-27;Aisén;Aysén;  1,72467964;4,175364e-02;  6,5641071
2020-04-28;Aisén;Aysén;  2,04678146;4,905901e-02;  7,9127040
2020-04-29;Aisén;Aysén;  2,33104087;5,381931e-02;  8,8404615
2020-04-30;Aisén;Aysén;  2,66396475;6,245036e-02; 10,1291029
2020-05-01;Aisén;Aysén;  2,96045931;7,119861e-02; 11,1813146
2020-05-02;Aisén;Aysén;  3,31024274;8,940283e-02; 12,4052345
2020-05-03;Aisén;Aysén;  3,57773158;8,931790e-02; 13,3255851
2020-05-04;Aisén;Aysén;  3,78464281;9,319878e-02; 13,9858395
2020-05-05;Aisén;Aysén;  4,02167036;9,643287e-02; 15,0302000
2020-05-06;Aisén;Aysén;  4,19130225;1,028894e-01; 15,4975160
