"","date","ss","Mean(R)","Quantile.0.025(R)","Quantile.0.975(R)"
"1",2020-05-22,"Del Reloncaví",2.59683506221145,1.69124472605735,3.70071420205383
"2",2020-05-22,"Aconcagua",1.89763380789594,1.44912421711676,2.41419787084057
"3",2020-05-22,"Del Maule",1.76082110081256,1.34901492746238,2.22631487360623
"4",2020-05-22,"Valdivia",1.69369790455237,1.20556612733116,2.25503178109499
"5",2020-05-22,"Metropolitano Occidente",1.57827097100576,1.34511403637208,1.7962622267737
"6",2020-05-22,"Metropolitano Sur",1.52117372980748,1.31006867526486,1.76536595599605
"7",2020-05-22,"Arica",1.4992180544158,1.21122753174135,1.81830770517377
"8",2020-05-22,"Metropolitano Oriente",1.44522155628067,1.26009906683411,1.65449927701819
"9",2020-05-22,"Metropolitano Suroriente",1.43680520027731,1.25387952713035,1.63382146324123
"10",2020-05-22,"Bíobío",1.42668243454397,1.15671762375872,1.76716624644967
"11",NA,"Ñuble",1.39987390012219,1.19166062184549,1.6451548503534
"12",2020-05-22,"Viña del Mar Quillota",1.39987390012219,1.19166062184549,1.6451548503534
"13",2020-05-22,"Metropolitano Central",1.38543552174107,1.24531464795762,1.52408515035815
"14",2020-05-22,"Coquimbo",1.38060076956906,1.10695349255918,1.7152007663273
"15",2020-05-22,"Iquique",1.37529257335629,1.2174649852048,1.55583348786406
"16",2020-05-22,"Chiloé",1.35834548136677,1.04898184575086,1.71334192241857
"17",2020-05-22,"Libertador B. O'Higgins",1.33689438170933,1.12727095826561,1.59975699183552
"18",2020-05-22,"Metropolitano Norte",1.33416445535308,1.21768026213558,1.439054660269
"19",2020-05-22,"Arauco",1.33182131253177,0.843943798578392,1.95659677913603
"20",2020-05-22,"Concepción",1.25901850113186,1.03586726538004,1.50893160626805
"21",2020-05-22,"Talcahuano",1.18696266309637,0.949395135671629,1.45990185367171
"22",2020-05-22,"Valparaíso San Antonio",1.17739278884185,1.04600038104758,1.32916517039816
"23",2020-05-22,"Antofagasta",1.16814713516567,1.07185584366663,1.27427437481472
"24",2020-05-22,"Araucanía Norte",1.16296427389505,0.929846335855773,1.42550832031784
"25",2020-05-22,"Araucanía Sur",1.08857642276296,0.947207279902433,1.24215270068469
"26",2020-05-22,"Atacama",1.03262291571628,0.826493398085836,1.2599933231764
"27",2020-05-22,"Aisén",0.955414031017735,0.0241725963453965,3.58370762691697
"28",2020-05-22,"Osorno",0.751791363190896,0.532993225024256,1.01224826439508
"29",2020-05-22,"Magallanes",0.680412575628268,0.561052003465294,0.811595602712629
