date;comuna;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-03-29;Aisén;Aysén;  4,97691218;1,262400e-01; 18,3588237
2020-03-30;Aisén;Aysén;  5,02426064;1,289599e-01; 18,5944507
2020-03-31;Aisén;Aysén;  5,00014253;1,245111e-01; 18,4413704
2020-04-01;Aisén;Aysén;  9,96697678;1,202741e+00; 27,8119495
2020-04-02;Aisén;Aysén; 13,19250951;3,018060e+00; 32,4604865
2020-04-03;Aisén;Aysén;  8,26162246;1,723586e+00; 24,2283482
2020-04-04;Aisén;Aysén;  4,30797732;1,007529e+00; 12,4493917
2020-04-05;Aisén;Aysén;  3,35887386;1,022781e+00;  8,3337414
2020-04-06;Aisén;Aysén;  2,45873161;7,880520e-01;  5,5430082
2020-04-07;Aisén;Aysén;  1,97859874;6,757940e-01;  4,2159377
2020-04-08;Aisén;Aysén;  1,69435666;6,091041e-01;  3,4314468
2020-04-09;Aisén;Aysén;  1,53066876;5,535672e-01;  3,0550686
2020-04-10;Aisén;Aysén;  1,41513229;5,148009e-01;  2,7952279
2020-04-11;Aisén;Aysén;  1,34859818;4,951462e-01;  2,6207163
2020-04-12;Aisén;Aysén;  1,29126019;4,756235e-01;  2,5315967
2020-04-13;Aisén;Aysén;  1,26097546;4,568211e-01;  2,4644083
2020-04-14;Aisén;Aysén;  1,23374675;4,557159e-01;  2,4331748
2020-04-15;Aisén;Aysén;  1,01022221;3,295953e-01;  2,0768417
2020-04-16;Aisén;Aysén;  0,61576508;1,271843e-01;  1,4810425
2020-04-17;Aisén;Aysén;  0,45225897;5,284903e-02;  1,2738865
2020-04-18;Aisén;Aysén;  0,52773917;6,045807e-02;  1,5399104
2020-04-19;Aisén;Aysén;  0,30720735;7,532250e-03;  1,1619406
2020-04-20;Aisén;Aysén;  0,38827854;9,170388e-03;  1,4832029
2020-04-21;Aisén;Aysén;  0,48462834;1,094455e-02;  1,9123952
2020-04-22;Aisén;Aysén;  0,61694856;1,476085e-02;  2,4226646
