edad,sexo,region,confirmados
5 a 9,Mujer,Atacama,0
10 a 14,Mujer,Atacama,0
15 a 19,Mujer,Atacama,0
20 a 24,Mujer,Atacama,2
25 a 29,Mujer,Atacama,6
30 a 34,Mujer,Atacama,16
35 a 39,Mujer,Atacama,6
40 a 44,Mujer,Atacama,12
45 a 49,Mujer,Atacama,21
50 a 54,Mujer,Atacama,34
55 a 59,Mujer,Atacama,73
60 a 64,Mujer,Atacama,117
65 a 69,Mujer,Atacama,129
70 a 74,Mujer,Atacama,187
75 a 79,Mujer,Atacama,238
80 a 84,Mujer,Atacama,220
85 a 89,Mujer,Atacama,212
90 a 99,Mujer,Atacama,206
100 +,Mujer,Atacama,11
< 1,Hombre,Coquimbo,0
1 a 4,Hombre,Coquimbo,0
5 a 9,Hombre,Coquimbo,0
10 a 14,Hombre,Coquimbo,2
15 a 19,Hombre,Coquimbo,1
20 a 24,Hombre,Coquimbo,2
25 a 29,Hombre,Coquimbo,14
30 a 34,Hombre,Coquimbo,14
35 a 39,Hombre,Coquimbo,23
40 a 44,Hombre,Coquimbo,32
45 a 49,Hombre,Coquimbo,56
50 a 54,Hombre,Coquimbo,98
55 a 59,Hombre,Coquimbo,131
60 a 64,Hombre,Coquimbo,189
65 a 69,Hombre,Coquimbo,246
70 a 74,Hombre,Coquimbo,268
75 a 79,Hombre,Coquimbo,312
80 a 84,Hombre,Coquimbo,267
85 a 89,Hombre,Coquimbo,221
90 a 99,Hombre,Coquimbo,105
100 +,Hombre,Coquimbo,4
< 1,Mujer,Coquimbo,2
1 a 4,Mujer,Coquimbo,2
5 a 9,Mujer,Coquimbo,0
10 a 14,Mujer,Coquimbo,0
15 a 19,Mujer,Coquimbo,0
20 a 24,Mujer,Coquimbo,2
25 a 29,Mujer,Coquimbo,6
30 a 34,Mujer,Coquimbo,16
35 a 39,Mujer,Coquimbo,6
40 a 44,Mujer,Coquimbo,12
45 a 49,Mujer,Coquimbo,21
50 a 54,Mujer,Coquimbo,34
55 a 59,Mujer,Coquimbo,73
60 a 64,Mujer,Coquimbo,117
65 a 69,Mujer,Coquimbo,129
70 a 74,Mujer,Coquimbo,187
75 a 79,Mujer,Coquimbo,238
80 a 84,Mujer,Coquimbo,220
85 a 89,Mujer,Coquimbo,212
90 a 99,Mujer,Coquimbo,206
100 +,Mujer,Coquimbo,11
< 1,Hombre,Valparaíso,0
1 a 4,Hombre,Valparaíso,0
5 a 9,Hombre,Valparaíso,0
10 a 14,Hombre,Valparaíso,2
15 a 19,Hombre,Valparaíso,1
20 a 24,Hombre,Valparaíso,2
25 a 29,Hombre,Valparaíso,14
30 a 34,Hombre,Valparaíso,14
35 a 39,Hombre,Valparaíso,23
40 a 44,Hombre,Valparaíso,32
45 a 49,Hombre,Valparaíso,56
50 a 54,Hombre,Valparaíso,98
55 a 59,Hombre,Valparaíso,131
60 a 64,Hombre,Valparaíso,189
65 a 69,Hombre,Valparaíso,246
70 a 74,Hombre,Valparaíso,268
75 a 79,Hombre,Valparaíso,312
80 a 84,Hombre,Valparaíso,267
85 a 89,Hombre,Valparaíso,221
90 a 99,Hombre,Valparaíso,105
100 +,Hombre,Valparaíso,4
< 1,Mujer,Valparaíso,2
1 a 4,Mujer,Valparaíso,2
5 a 9,Mujer,Valparaíso,0
10 a 14,Mujer,Valparaíso,0
15 a 19,Mujer,Valparaíso,0
20 a 24,Mujer,Valparaíso,2
25 a 29,Mujer,Valparaíso,6
30 a 34,Mujer,Valparaíso,16
35 a 39,Mujer,Valparaíso,6
40 a 44,Mujer,Valparaíso,12
45 a 49,Mujer,Valparaíso,21
50 a 54,Mujer,Valparaíso,34
55 a 59,Mujer,Valparaíso,73
60 a 64,Mujer,Valparaíso,117
65 a 69,Mujer,Valparaíso,129
70 a 74,Mujer,Valparaíso,187
75 a 79,Mujer,Valparaíso,238
80 a 84,Mujer,Valparaíso,220
85 a 89,Mujer,Valparaíso,212
90 a 99,Mujer,Valparaíso,206
100 +,Mujer,Valparaíso,11
< 1,Hombre,RM,0
1 a 4,Hombre,RM,0
5 a 9,Hombre,RM,0
10 a 14,Hombre,RM,2
15 a 19,Hombre,RM,1
20 a 24,Hombre,RM,2
25 a 29,Hombre,RM,14
30 a 34,Hombre,RM,14
35 a 39,Hombre,RM,23
